---RUN_DATA---
Pipeline_version:   v1.1.0
Pipeline_runname:   prickly_pare
Pipeline_session:   58c85cba-724c-4e4a-b885-9b41d182bf87
Pipeline_duration:  26998
Pipeline_datastrt:  2024-04-09T13:46:01.578848+01:00
Pipeline_datecomp:  2024-04-09T21:15:59.635426+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      idCulAnnu2_1
InputYamlFile:      /lustre/scratch124/tol/projects/darwin/data/insects/Culiseta_annulata/assembly/draft/treeval/idCulAnnu2_1/idCulAnnu2_1.yaml
InputAssemblyData:  [[id:idCulAnnu2_1, sz:2102061714, ln:insects, tk:null], /lustre/scratch124/tol/projects/darwin/data/insects/Culiseta_annulata/assembly/draft/treeval/idCulAnnu2_1/data/ref.fa]
Input_PacBio_Files: [[id:read, sz:14337848768], /lustre/scratch124/tol/projects/darwin/data/insects/Culiseta_annulata/assembly/draft/treeval/idCulAnnu2_1/working/work/f4/88ed50074e45b2b6f42e8c146366d9/in/m84047_240302_121359_s2.ccs.bc2068.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:48120697170, cn:10], /lustre/scratch124/tol/projects/darwin/data/insects/Culiseta_annulata/assembly/draft/treeval/idCulAnnu2_1/working/work/05/4230f02d9f9a202a91da302cafa068/in/47658_1#7.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (idCulAnnu2_1)	COMPLETED	-	1	100 MB	1	93ms	40.1%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:GrabFiles (idCulAnnu2_1)	COMPLETED	-	1	100 MB	1	100ms	37.4%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (idCulAnnu2_1)	COMPLETED	-	1	100 MB	1	108ms	37.3%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (idCulAnnu2_1)	COMPLETED	-	1	100 MB	1	124ms	41.9%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (idCulAnnu2_1)	COMPLETED	-	1	100 MB	1	0ms	68.3%	0.0%	1.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (idCulAnnu2_1)	COMPLETED	-	2	12 GB	1	3s	90.6%	0.3%	1.2 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:CUSTOM_GETCHROMSIZES (idCulAnnu2_1)	COMPLETED	-	1	6 GB	1	10s	97.1%	0.0%	4.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (idCulAnnu2_1)	COMPLETED	-	2	12 GB	1	13.6s	92.0%	0.6%	2.3 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (idCulAnnu2_1)	COMPLETED	-	1	1 GB	1	0ms	50.8%	0.0%	3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:GNU_SORT (idCulAnnu2_1)	COMPLETED	-	2	12 GB	1	16ms	93.4%	0.0%	2.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (idCulAnnu2_1)	COMPLETED	-	1	100 MB	1	26ms	46.9%	0.0%	2.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_B (idCulAnnu2_1)	COMPLETED	-	2	12 GB	1	14ms	51.2%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (idCulAnnu2_1)	COMPLETED	-	1	6 GB	1	0ms	89.3%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_WINDOWS (idCulAnnu2_1)	COMPLETED	-	2	12 GB	1	6s	145.2%	0.1%	447.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GET_LARGEST_SCAFF (idCulAnnu2_1)	COMPLETED	-	2	12 GB	1	12ms	83.7%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_C (idCulAnnu2_1)	COMPLETED	-	2	12 GB	1	131ms	154.0%	0.0%	2.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:EXTRACT_TELO (idCulAnnu2_1)	COMPLETED	-	2	12 GB	1	26ms	79.3%	0.0%	3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (idCulAnnu2_1)	FAILED	-	6	4.5 GB	1	35s	-	-	-
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:TABIX_BGZIPTABIX (idCulAnnu2_1)	COMPLETED	-	1	1 GB	1	0ms	41.4%	0.0%	3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:CAT_CAT (idCulAnnu2_1)	COMPLETED	-	2	12 GB	1	37s	99.5%	0.0%	3.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:CAT_CAT (idCulAnnu2_1)	COMPLETED	-	2	12 GB	1	37s	99.6%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (idCulAnnu2_1)	COMPLETED	-	6	9 GB	2	10m 40s	99.9%	1.5%	6.2 GB
