---RUN_DATA---
Pipeline_version:   v1.1.0
Pipeline_runname:   happy_morse
Pipeline_session:   f6ac5ad9-8397-49e6-a24f-0a71b8c40479
Pipeline_duration:  81732
Pipeline_datastrt:  2024-05-02T10:45:45.069012+01:00
Pipeline_datecomp:  2024-05-03T09:27:57.747918+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      idCulLati1_2
InputYamlFile:      /lustre/scratch124/tol/projects/erga-bge/data/insects/Culex_laticinctus/assembly/draft/treeval/idCulLati1_2/idCulLati1_2.yaml
InputAssemblyData:  [[id:idCulLati1_2, sz:1758006522, ln:insects, tk:null], /lustre/scratch122/tol/data/a/5/e/1/6/d/Culex_laticinctus/assembly/draft/treeval/idCulLati1_2/data/ref.fa]
Input_PacBio_Files: [[id:read, sz:[3243313377, 4163511707]], [/lustre/scratch122/tol/data/a/5/e/1/6/d/Culex_laticinctus/assembly/draft/treeval/idCulLati1_2/working/work/40/429b575f6effdd2f0b9929a9b7083e/in/m84093_240409_113426_s4.ccs.bc2024.rmdup.filtered.fasta.gz, /lustre/scratch122/tol/data/a/5/e/1/6/d/Culex_laticinctus/assembly/draft/treeval/idCulLati1_2/working/work/40/429b575f6effdd2f0b9929a9b7083e/in/m84093_240427_115623_s3.ccs.bc2024.rmdup.filtered.fasta.gz]]
Input_Cram_Files:   [[id:cram, sz:50720367199, cn:11], /lustre/scratch122/tol/data/a/5/e/1/6/d/Culex_laticinctus/assembly/draft/treeval/idCulLati1_2/working/work/dc/ecd4b04587593e0a6221113945155c/in/48526_1-2#8.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (idCulLati1_2)	COMPLETED	-	1	100 MB	1	8ms	125.0%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (idCulLati1_2)	COMPLETED	-	1	100 MB	1	9ms	71.4%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (idCulLati1_2)	COMPLETED	-	1	100 MB	1	10ms	109.8%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (idCulLati1_2)	COMPLETED	-	2	12 GB	1	3s	94.5%	0.0%	320.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (idCulLati1_2)	COMPLETED	-	1	100 MB	1	0ms	65.6%	0.0%	3.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_UNSORTED_GENOME:CUSTOM_GETCHROMSIZES (idCulLati1_2)	COMPLETED	-	1	6 GB	1	6s	97.3%	0.0%	6.3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (idCulLati1_2)	COMPLETED	-	2	12 GB	1	9.1s	95.3%	0.0%	637.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:CAT_CAT (idCulLati1_2)	COMPLETED	-	2	12 GB	1	30s	98.2%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (idCulLati1_2)	COMPLETED	-	1	1 GB	1	0ms	63.7%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (idCulLati1_2)	COMPLETED	-	1	100 MB	1	44ms	44.5%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_B (idCulLati1_2)	COMPLETED	-	2	12 GB	1	28ms	55.0%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (idCulLati1_2)	COMPLETED	-	1	6 GB	1	1s	94.0%	0.0%	5.3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GET_LARGEST_SCAFF (idCulLati1_2)	COMPLETED	-	2	12 GB	1	29ms	51.4%	0.0%	2.8 MB
