---RUN_DATA---
Pipeline_version:   v1.1.1
Pipeline_runname:   tender_borg
Pipeline_session:   bc687bff-9950-4379-abed-9d69c1083e68
Pipeline_duration:  19486
Pipeline_datastrt:  2024-07-12T08:35:19.842550+01:00
Pipeline_datecomp:  2024-07-12T14:00:06.183643+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      idCynMort1_1
InputYamlFile:      /lustre/scratch124/tol/projects/darwin/data/insects/Cynomya_mortuorum/assembly/draft/treeval/idCynMort1_1/idCynMort1_1.yaml
InputAssemblyData:  [[id:idCynMort1_1, sz:623895826, ln:, tk:null], /lustre/scratch122/tol/data/8/d/5/a/1/c/Cynomya_mortuorum/assembly/draft/treeval/idCynMort1_1/raw/ref.fa]
Input_PacBio_Files: [[id:read, sz:3999661647], /lustre/scratch122/tol/data/8/d/5/a/1/c/Cynomya_mortuorum/assembly/draft/treeval/idCynMort1_1/working/work/b2/9f017a3bba036d03cfcf948da3cbdc/in/m84098_240504_150545_s2.ccs.bc1008_BAK8A_OA.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:40429942309, cn:9], /lustre/scratch122/tol/data/8/d/5/a/1/c/Cynomya_mortuorum/assembly/draft/treeval/idCynMort1_1/working/work/32/a683888c9668ab91c4748bff60c8f7/in/46918_1#1.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (idCynMort1_1)	COMPLETED	-	1	100 MB	1	11ms	164.4%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (idCynMort1_1)	COMPLETED	-	1	100 MB	1	9ms	162.2%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (idCynMort1_1)	COMPLETED	-	1	100 MB	1	10ms	157.9%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (idCynMort1_1)	COMPLETED	-	1	100 MB	1	0ms	42.9%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (idCynMort1_1)	COMPLETED	-	2	12 GB	1	1s	95.1%	0.0%	19.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_UNSORTED_GENOME:CUSTOM_GETCHROMSIZES (idCynMort1_1)	COMPLETED	-	1	6 GB	1	3s	95.6%	0.0%	4.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (idCynMort1_1)	COMPLETED	-	2	12 GB	1	4.9s	97.4%	0.1%	398 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (idCynMort1_1)	COMPLETED	-	1	100 MB	1	36ms	35.9%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:CAT_CAT (idCynMort1_1)	COMPLETED	-	2	12 GB	1	12s	96.9%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (idCynMort1_1)	COMPLETED	-	1	1 GB	1	0ms	28.7%	0.0%	3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_WINDOWS (idCynMort1_1)	COMPLETED	-	2	12 GB	1	6s	119.4%	0.0%	345.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:EXTRACT_TELO (idCynMort1_1)	COMPLETED	-	2	12 GB	1	38ms	49.4%	0.0%	2.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:TABIX_BGZIPTABIX (idCynMort1_1)	COMPLETED	-	1	1 GB	1	0ms	16.5%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (idCynMort1_1)	COMPLETED	-	1	6 GB	1	0ms	70.0%	0.0%	5.3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_B (idCynMort1_1)	COMPLETED	-	2	12 GB	1	19ms	71.9%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GET_LARGEST_SCAFF (idCynMort1_1)	COMPLETED	-	2	12 GB	1	16ms	70.3%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_C (idCynMort1_1)	COMPLETED	-	2	12 GB	1	90ms	72.3%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (idCynMort1_1)	COMPLETED	-	6	1.5 GB	1	2m 42s	100.0%	0.3%	1.3 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:FASTK_FASTK (idCynMort1_1)	COMPLETED	-	8	100 GB	1	5m 29s	439.7%	2.5%	18.8 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_BWAMEM2:BWAMEM2_INDEX (ref.fa)	COMPLETED	-	1	18 GB	1	6m 12s	98.6%	3.6%	13.7 GB
