---RUN_DATA---
Pipeline_version:   v1.0.2
Pipeline_runname:   pedantic_picasso
Pipeline_session:   5e568647-707a-430c-b96e-9924c867f72d
Pipeline_duration:  45893
Pipeline_datastrt:  2024-03-15T13:16:22.122529Z
Pipeline_datecomp:  2024-03-16T02:01:15.902624Z
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      idEpiBalt62_2
InputYamlFile:      /lustre/scratch126/tol/projects/filr/data/insects/Episyrphus_balteatus/assembly/draft/treeval/idEpiBalt62_2/idEpiBalt62_2.yaml
InputAssemblyData:  [[id:idEpiBalt62_2, sz:558992557, ln:insects, tk:null], /lustre/scratch126/tol/projects/filr/data/insects/Episyrphus_balteatus/assembly/draft/treeval/idEpiBalt62_2/data/ref.fa]
Input_PacBio_Files: [[id:read, sz:2910341288], /lustre/scratch126/tol/projects/filr/data/insects/Episyrphus_balteatus/assembly/draft/treeval/idEpiBalt62_2/working/work/ad/4f8f4b30f2261cc9feb632d46d844b/in/m64097e_221113_010406.ccs.bc1012_BAK8A_OA--bc1012_BAK8A_OA.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:40647471849, cn:9], /lustre/scratch126/tol/projects/filr/data/insects/Episyrphus_balteatus/assembly/draft/treeval/idEpiBalt62_2/working/work/69/2468c9058382ed7085130d9543f97f/in/45570_3#4.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:GrabFiles (idEpiBalt62_2)	COMPLETED	-	1	100 MB	1	190ms	17.2%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (idEpiBalt62_2)	COMPLETED	-	1	100 MB	1	211ms	12.5%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (idEpiBalt62_2)	COMPLETED	-	1	100 MB	1	200ms	18.5%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (idEpiBalt62_2)	COMPLETED	-	1	100 MB	1	151ms	26.7%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (idEpiBalt62_2)	COMPLETED	-	2	12 GB	1	1s	92.7%	0.0%	4.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:CUSTOM_GETCHROMSIZES (idEpiBalt62_2)	COMPLETED	-	1	6 GB	1	5s	95.6%	0.0%	4.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (idEpiBalt62_2)	COMPLETED	-	1	1 GB	1	0ms	47.6%	0.0%	3.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (idEpiBalt62_2)	COMPLETED	-	1	100 MB	1	36ms	22.3%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (idEpiBalt62_2)	COMPLETED	-	2	12 GB	1	4.5s	90.6%	0.0%	333.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (idEpiBalt62_2)	COMPLETED	-	1	100 MB	1	11s	4.2%	0.0%	9.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:CAT_CAT (idEpiBalt62_2)	COMPLETED	-	2	12 GB	1	8s	97.2%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:GNU_SORT (idEpiBalt62_2)	COMPLETED	-	2	12 GB	1	14ms	45.4%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_WINDOWS (idEpiBalt62_2)	COMPLETED	-	2	12 GB	1	4s	123.5%	0.0%	333.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (idEpiBalt62_2)	COMPLETED	-	1	6 GB	1	1s	69.9%	0.0%	3.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:EXTRACT_TELO (idEpiBalt62_2)	COMPLETED	-	2	12 GB	1	18ms	102.1%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_C (idEpiBalt62_2)	COMPLETED	-	2	12 GB	1	68ms	94.1%	0.0%	9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:CAT_CAT (idEpiBalt62_2)	COMPLETED	-	2	12 GB	1	8s	92.2%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_B (idEpiBalt62_2)	COMPLETED	-	2	12 GB	1	15ms	93.4%	0.0%	2.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GET_LARGEST_SCAFF (idEpiBalt62_2)	COMPLETED	-	2	12 GB	1	23ms	77.4%	0.0%	3 MB
