---RUN_DATA---
Pipeline_version:   v1.0.2
Pipeline_runname:   astonishing_lamarck
Pipeline_session:   ce617c48-69ba-4793-912f-8f235a05baf8
Pipeline_duration:  46688
Pipeline_datastrt:  2024-03-15T13:16:22.127614Z
Pipeline_datecomp:  2024-03-16T02:14:30.997758Z
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      idEpiBalt62_3
InputYamlFile:      /lustre/scratch126/tol/projects/filr/data/insects/Episyrphus_balteatus/assembly/draft/treeval/idEpiBalt62_3/idEpiBalt62_3.yaml
InputAssemblyData:  [[id:idEpiBalt62_3, sz:1105414856, ln:insects, tk:null], /lustre/scratch126/tol/projects/filr/data/insects/Episyrphus_balteatus/assembly/draft/treeval/idEpiBalt62_3/data/ref.fa]
Input_PacBio_Files: [[id:read, sz:2910341288], /lustre/scratch126/tol/projects/filr/data/insects/Episyrphus_balteatus/assembly/draft/treeval/idEpiBalt62_3/working/work/d1/228ecafe129d8c8dc1317502c20349/in/m64097e_221113_010406.ccs.bc1012_BAK8A_OA--bc1012_BAK8A_OA.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:40647471849, cn:9], /lustre/scratch126/tol/projects/filr/data/insects/Episyrphus_balteatus/assembly/draft/treeval/idEpiBalt62_3/working/work/3d/b7e77ecd8dc45342c25e7c08a447f4/in/45570_3#4.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:GrabFiles (idEpiBalt62_3)	COMPLETED	-	1	100 MB	1	192ms	18.9%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (idEpiBalt62_3)	COMPLETED	-	1	100 MB	1	204ms	12.3%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (idEpiBalt62_3)	COMPLETED	-	1	100 MB	1	147ms	20.2%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (idEpiBalt62_3)	COMPLETED	-	1	100 MB	1	165ms	22.6%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (idEpiBalt62_3)	COMPLETED	-	2	12 GB	1	2s	84.4%	0.0%	168.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (idEpiBalt62_3)	COMPLETED	-	1	1 GB	1	0ms	67.1%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (idEpiBalt62_3)	COMPLETED	-	1	100 MB	1	37ms	22.2%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (idEpiBalt62_3)	COMPLETED	-	2	12 GB	1	8.6s	91.1%	0.1%	338.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_UNSORTED_GENOME:CUSTOM_GETCHROMSIZES (idEpiBalt62_3)	COMPLETED	-	1	6 GB	1	7s	96.0%	0.0%	6.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (idEpiBalt62_3)	COMPLETED	-	1	100 MB	1	11s	4.2%	0.0%	7.9 MB
