---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   hungry_gates
Pipeline_session:   61220f06-7280-47de-93a9-471c95599e40
Pipeline_duration:  71261
Pipeline_datastrt:  2023-11-13T10:19:06.093813Z
Pipeline_datecomp:  2023-11-14T06:06:48.026778Z
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      idEriTena64_1
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/idEriTena64_1.yaml
InputAssemblyData:  [[id:idEriTena64_1, sz:496356692, ln:insects, tk:TOL], /lustre/scratch126/tol/projects/filr/data/insects/Eristalis_tenax/assembly/draft/treeval/idEriTena64_1/data/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:2724288836], /lustre/scratch126/tol/projects/filr/data/insects/Eristalis_tenax/assembly/draft/treeval/idEriTena64_1/working/work/cb/f92f2933517882125fd2e4f060a99d/in/m64125e_221122_123843.ccs.bc1008_BAK8A_OA--bc1008_BAK8A_OA.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:37709482851], /lustre/scratch126/tol/projects/filr/data/insects/Eristalis_tenax/assembly/draft/treeval/idEriTena64_1/working/work/f5/4abece64eb3e0b4dbfae166b05dd52/in/45570_3#6.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (idEriTena64_1)	COMPLETED	-	1	6 GB	1	41ms	87.0%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:GrabFiles (idEriTena64_1)	COMPLETED	-	1	6 GB	1	39ms	89.6%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (idEriTena64_1)	COMPLETED	-	1	6 GB	1	41ms	102.9%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (idEriTena64_1)	COMPLETED	-	2	12 GB	1	3.9s	90.7%	0.0%	180.6 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (idEriTena64_1)	COMPLETED	-	1	6 GB	1	2s	96.6%	0.0%	4.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (idEriTena64_1)	COMPLETED	-	2	12 GB	1	0ms	57.1%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:CAT_CAT (idEriTena64_1)	COMPLETED	-	2	12 GB	1	6s	98.9%	0.0%	3.4 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_WINDOWS (idEriTena64_1)	COMPLETED	-	2	12 GB	1	1s	148.2%	0.0%	4.4 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GNU_SORT (idEriTena64_1)	COMPLETED	-	2	12 GB	1	17ms	41.8%	0.0%	2.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (idEriTena64_1)	COMPLETED	-	2	12 GB	1	13ms	39.8%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:MINIMAP2_INDEX (1)	COMPLETED	-	6	36 GB	1	15s	196.1%	0.7%	2.7 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (idEriTena64_1)	COMPLETED	-	2	12 GB	1	0ms	94.8%	0.0%	4.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (idEriTena64_1)	COMPLETED	-	1	6 GB	1	0ms	82.7%	0.0%	3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_B (idEriTena64_1)	COMPLETED	-	2	12 GB	1	14ms	48.5%	0.0%	2.6 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:EXTRACT_TELO (idEriTena64_1)	COMPLETED	-	2	12 GB	1	31ms	45.9%	0.0%	2.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_C (idEriTena64_1)	COMPLETED	-	2	12 GB	1	58ms	76.7%	0.0%	7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:TABIX_BGZIPTABIX (idEriTena64_1)	COMPLETED	-	1	6 GB	1	0ms	56.0%	0.0%	3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (idEriTena64_1)	COMPLETED	-	2	12 GB	1	13ms	77.6%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:TABIX_BGZIPTABIX (idEriTena64_1)	COMPLETED	-	1	6 GB	1	0ms	37.0%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (idEriTena64_1)	COMPLETED	-	2	12 GB	1	1m 50s	100.0%	0.3%	1.2 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:WINDOWMASKER_USTAT (idEriTena64_1)	COMPLETED	-	2	12 GB	1	2m 52s	99.6%	0.1%	263.5 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:EXTRACT_REPEAT (idEriTena64_1)	COMPLETED	-	2	12 GB	1	6s	99.4%	0.0%	6.6 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_INTERSECT (idEriTena64_1)	COMPLETED	-	1	6 GB	1	2s	97.1%	0.2%	754 MB
