---RUN_DATA---
Pipeline_version:   v1.0.2
Pipeline_runname:   wise_panini
Pipeline_session:   53706047-2dc8-4d43-81bf-a1bad24ca3c8
Pipeline_duration:  63208
Pipeline_datastrt:  2024-03-06T09:16:04.154839Z
Pipeline_datecomp:  2024-03-07T02:49:32.726063Z
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      idEriTena64_2
InputYamlFile:      /lustre/scratch126/tol/projects/filr/data/insects/Eristalis_tenax/assembly/draft/treeval/idEriTena64_2/idEriTena64_2.yaml
InputAssemblyData:  [[id:idEriTena64_2, sz:605880739, ln:insects, tk:null], /lustre/scratch126/tol/projects/filr/data/insects/Eristalis_tenax/assembly/draft/treeval/idEriTena64_2/data/ref.fa]
Input_PacBio_Files: [[id:read, sz:2724288836], /lustre/scratch126/tol/projects/filr/data/insects/Eristalis_tenax/assembly/draft/treeval/idEriTena64_2/working/work/81/3195cb9802292f4ba7c129fe5e2c47/in/m64125e_221122_123843.ccs.bc1008_BAK8A_OA--bc1008_BAK8A_OA.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:37709482851, cn:8], /lustre/scratch126/tol/projects/filr/data/insects/Eristalis_tenax/assembly/draft/treeval/idEriTena64_2/working/work/5d/f1e2f9405187eafb98e1b64ca63bf4/in/45570_3#6.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (idEriTena64_2)	COMPLETED	-	1	100 MB	1	166ms	18.2%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (idEriTena64_2)	COMPLETED	-	1	100 MB	1	190ms	21.1%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (idEriTena64_2)	COMPLETED	-	1	100 MB	1	150ms	20.7%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:GrabFiles (idEriTena64_2)	COMPLETED	-	1	100 MB	1	178ms	17.9%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (idEriTena64_2)	COMPLETED	-	2	12 GB	1	1s	92.0%	0.0%	4.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (idEriTena64_2)	COMPLETED	-	1	100 MB	1	0ms	31.0%	0.0%	6.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:CUSTOM_GETCHROMSIZES (idEriTena64_2)	COMPLETED	-	1	6 GB	1	5s	94.2%	0.0%	6.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (idEriTena64_2)	COMPLETED	-	2	12 GB	1	3.6s	90.8%	0.0%	201.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (idEriTena64_2)	COMPLETED	-	1	1 GB	1	0ms	25.2%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (idEriTena64_2)	COMPLETED	-	1	100 MB	1	21ms	59.3%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:CAT_CAT (idEriTena64_2)	COMPLETED	-	2	12 GB	1	8s	90.4%	0.0%	4.3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:CAT_CAT (idEriTena64_2)	COMPLETED	-	2	12 GB	1	7s	98.2%	0.0%	3.5 MB
