---RUN_DATA---
Pipeline_version:   v1.1.0
Pipeline_runname:   jolly_mayer
Pipeline_session:   c7545fc7-d7a4-4b0b-924e-9ba6ab5ca27b
Pipeline_duration:  16084
Pipeline_datastrt:  2024-05-11T20:45:39.131717+01:00
Pipeline_datecomp:  2024-05-12T01:13:43.697045+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      idEstCris1_1
InputYamlFile:      /nfs/treeoflife-01/teams/tola/users/yy5/TV_yamls/idEstCris1_1.yaml
InputAssemblyData:  [[id:idEstCris1_1, sz:815753287, ln:insects, tk:null], /lustre/scratch124/tol/projects/darwin/data/insects/Estheria_cristata/assembly/draft/treeval/idEstCris1_1/raw/idEstCris1.20240420.primary.decontaminated.fa]
Input_PacBio_Files: [[id:read, sz:7149636975], /lustre/scratch123/tol/teams/tola/users/yy5/galaxy_new/treeval/work/30/9de6b4a7fcb0637243d8e3786ec6c0/in/m64089e_230716_051649.ccs.bc2054--bc2054.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:30359077522, cn:7], /lustre/scratch123/tol/teams/tola/users/yy5/galaxy_new/treeval/work/55/24d70c98c5ab3fb5f430e291aa3913/in/48772_1-2#1.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (idEstCris1_1)	COMPLETED	-	1	100 MB	1	17ms	36.1%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (idEstCris1_1)	COMPLETED	-	1	100 MB	1	37ms	9.8%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (idEstCris1_1)	COMPLETED	-	1	100 MB	1	1s	27.4%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (idEstCris1_1)	COMPLETED	-	2	12 GB	1	1s	93.3%	0.0%	186.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:CUSTOM_GETCHROMSIZES (idEstCris1_1)	COMPLETED	-	1	6 GB	1	3s	95.5%	0.0%	4.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (idEstCris1_1)	COMPLETED	-	2	12 GB	1	4.8s	89.6%	0.1%	368.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GNU_SORT (idEstCris1_1)	COMPLETED	-	2	12 GB	1	139ms	13.8%	0.0%	4.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:GNU_SORT (idEstCris1_1)	COMPLETED	-	2	12 GB	1	16ms	89.5%	0.0%	2.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (idEstCris1_1)	COMPLETED	-	1	100 MB	1	24ms	48.5%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_WINDOWS (idEstCris1_1)	COMPLETED	-	2	12 GB	1	1s	146.0%	0.1%	335.1 MB
