---RUN_DATA---
Pipeline_version:   v1.0.2
Pipeline_runname:   distracted_sinoussi
Pipeline_session:   7ba6f47c-12fa-4f10-b801-6e224935bb44
Pipeline_duration:  69201
Pipeline_datastrt:  2024-03-07T09:08:20.146093Z
Pipeline_datecomp:  2024-03-08T04:21:41.374919Z
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      idHydSimi1_1
InputYamlFile:      /lustre/scratch124/tol/projects/darwin/data/insects/Hydrotaea_similis/assembly/draft/treeval/idHydSimi1_1/idHydSimi1_1.yaml
InputAssemblyData:  [[id:idHydSimi1_1, sz:902487339, ln:insects, tk:null], /lustre/scratch124/tol/projects/darwin/data/insects/Hydrotaea_similis/assembly/draft/treeval/idHydSimi1_1/data/ref.fa]
Input_PacBio_Files: [[id:read, sz:7009080260], /lustre/scratch124/tol/projects/darwin/data/insects/Hydrotaea_similis/assembly/draft/treeval/idHydSimi1_1/working/work/0a/d42541b54a08012aece1ff8d9519de/in/m84093_231013_140636_s3.ccs.bc2010.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:43179309702, cn:10], /lustre/scratch124/tol/projects/darwin/data/insects/Hydrotaea_similis/assembly/draft/treeval/idHydSimi1_1/working/work/17/cbccf5c684ed0103d8d55e9ac28779/in/48526_3-4#7.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (idHydSimi1_1)	COMPLETED	-	1	100 MB	1	109ms	16.9%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:GrabFiles (idHydSimi1_1)	COMPLETED	-	1	100 MB	1	103ms	28.4%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (idHydSimi1_1)	COMPLETED	-	1	100 MB	1	185ms	11.2%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (idHydSimi1_1)	COMPLETED	-	1	100 MB	1	185ms	12.6%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (idHydSimi1_1)	COMPLETED	-	2	12 GB	1	4.8s	98.9%	0.1%	390.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (idHydSimi1_1)	COMPLETED	-	2	12 GB	1	1s	99.5%	0.1%	197.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (idHydSimi1_1)	COMPLETED	-	1	100 MB	1	0ms	26.9%	0.0%	6.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:CUSTOM_GETCHROMSIZES (idHydSimi1_1)	COMPLETED	-	1	6 GB	1	5s	96.6%	0.0%	4.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_WINDOWS (idHydSimi1_1)	COMPLETED	-	2	12 GB	1	3s	145.8%	0.1%	300.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (idHydSimi1_1)	COMPLETED	-	1	1 GB	1	0ms	53.6%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (idHydSimi1_1)	COMPLETED	-	1	100 MB	1	24ms	52.2%	0.0%	3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:GNU_SORT (idHydSimi1_1)	COMPLETED	-	2	12 GB	1	17ms	88.9%	0.0%	2.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:EXTRACT_TELO (idHydSimi1_1)	COMPLETED	-	2	12 GB	1	18ms	96.5%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (idHydSimi1_1)	COMPLETED	-	1	6 GB	1	0ms	80.9%	0.0%	3.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_B (idHydSimi1_1)	COMPLETED	-	2	12 GB	1	13ms	48.5%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:CAT_CAT (idHydSimi1_1)	COMPLETED	-	2	12 GB	1	18s	96.3%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:CAT_CAT (idHydSimi1_1)	COMPLETED	-	2	12 GB	1	19s	99.1%	0.0%	3.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GET_LARGEST_SCAFF (idHydSimi1_1)	COMPLETED	-	2	12 GB	1	13ms	115.0%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:TABIX_BGZIPTABIX (idHydSimi1_1)	COMPLETED	-	1	1 GB	1	0ms	54.2%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_C (idHydSimi1_1)	COMPLETED	-	2	12 GB	1	92ms	92.8%	0.0%	3.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (idHydSimi1_1)	COMPLETED	-	6	1.5 GB	1	3m 39s	100.0%	0.3%	1.3 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_BWAMEM2:BWAMEM2_INDEX (ref.fa)	COMPLETED	-	1	26 GB	1	8m 44s	98.8%	5.3%	19.8 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_USTAT (idHydSimi1_1)	COMPLETED	-	1	1 GB	1	6m 36s	99.0%	0.1%	394.1 MB
