---RUN_DATA---
Pipeline_version:   v1.0.2
Pipeline_runname:   happy_roentgen
Pipeline_session:   fb24ae3f-c8dd-4276-a9fa-838f7801a13f
Pipeline_duration:  65305
Pipeline_datastrt:  2024-03-07T09:08:23.364629Z
Pipeline_datecomp:  2024-03-08T03:16:49.031245Z
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      idHydSimi1_2
InputYamlFile:      /lustre/scratch124/tol/projects/darwin/data/insects/Hydrotaea_similis/assembly/draft/treeval/idHydSimi1_2/idHydSimi1_2.yaml
InputAssemblyData:  [[id:idHydSimi1_2, sz:1768268921, ln:insects, tk:null], /lustre/scratch124/tol/projects/darwin/data/insects/Hydrotaea_similis/assembly/draft/treeval/idHydSimi1_2/data/ref.fa]
Input_PacBio_Files: [[id:read, sz:7009080260], /lustre/scratch124/tol/projects/darwin/data/insects/Hydrotaea_similis/assembly/draft/treeval/idHydSimi1_2/working/work/96/3ead1dd721114be6e1271acca970ef/in/m84093_231013_140636_s3.ccs.bc2010.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:43179309702, cn:10], /lustre/scratch124/tol/projects/darwin/data/insects/Hydrotaea_similis/assembly/draft/treeval/idHydSimi1_2/working/work/8c/5f62da918aacd5f957a926aa1c1241/in/48526_3-4#7.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (idHydSimi1_2)	COMPLETED	-	1	100 MB	1	90ms	15.6%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (idHydSimi1_2)	COMPLETED	-	1	100 MB	1	140ms	9.8%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (idHydSimi1_2)	COMPLETED	-	1	100 MB	1	65ms	37.6%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:GrabFiles (idHydSimi1_2)	COMPLETED	-	1	100 MB	1	114ms	31.5%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (idHydSimi1_2)	COMPLETED	-	1	100 MB	1	0ms	26.7%	0.0%	4.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (idHydSimi1_2)	COMPLETED	-	2	12 GB	1	3s	71.6%	0.1%	218.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (idHydSimi1_2)	COMPLETED	-	1	1 GB	1	0ms	66.7%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (idHydSimi1_2)	COMPLETED	-	1	100 MB	1	26ms	48.9%	0.0%	3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_UNSORTED_GENOME:CUSTOM_GETCHROMSIZES (idHydSimi1_2)	COMPLETED	-	1	6 GB	1	9s	95.2%	0.0%	6.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (idHydSimi1_2)	COMPLETED	-	2	12 GB	1	15.8s	96.2%	0.1%	448.1 MB
