---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   hungry_shaw
Pipeline_session:   f3b32e4a-7835-408e-96fa-55047a1e3c86
Pipeline_duration:  17084
Pipeline_datastrt:  2023-10-20T17:22:11.844727572+01:00
Pipeline_datecomp:  2023-10-20T22:06:56.757114499+01:00
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      idMelCras1_1
InputYamlFile:      idMelCras1.yaml
InputAssemblyData:  [[id:idMelCras1_1, sz:421076609, ln:insects, tk:DTOL], /nfs/treeoflife-01/teams/tola/users/dp24/treeval/raw_data/idMelCras1.fa]
Input_PacBio_Files: [[id:pacbio, sz:10651274448], /nfs/treeoflife-01/teams/tola/users/dp24/treeval/work/bf/6614abc06c711fa28923b61e74167c/in/m84093_231012_142721_s4.ccs.bc2083.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:39202434037], /nfs/treeoflife-01/teams/tola/users/dp24/treeval/work/48/ed1c6d84876b203726df90f1c446aa/in/47691_1#2.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (idMelCras1_1)	COMPLETED	-	1	6 GB	1	45ms	74.8%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (idMelCras1_1)	COMPLETED	-	1	6 GB	1	42ms	84.7%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:GrabFiles (idMelCras1_1)	COMPLETED	-	1	6 GB	1	50ms	65.8%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (idMelCras1_1)	COMPLETED	-	2	12 GB	1	0ms	59.3%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (idMelCras1_1)	COMPLETED	-	2	12 GB	1	1s	70.2%	0.0%	6.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (idMelCras1_1)	COMPLETED	-	2	12 GB	1	16ms	47.4%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (idMelCras1_1)	COMPLETED	-	1	6 GB	1	1s	92.3%	0.0%	4.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (idMelCras1_1)	COMPLETED	-	2	12 GB	1	4.3s	94.4%	0.0%	300 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:MINIMAP2_INDEX (1)	COMPLETED	-	6	36 GB	1	19s	131.7%	0.4%	3.2 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GNU_SORT (idMelCras1_1)	COMPLETED	-	2	12 GB	1	28ms	27.1%	0.0%	2.7 MB
