---RUN_DATA---
Pipeline_version:   v1.0.2
Pipeline_runname:   condescending_yonath
Pipeline_session:   ee8fd7e4-4384-49d9-8044-5dc0511725b2
Pipeline_duration:  29454
Pipeline_datastrt:  2024-03-20T09:39:55.551957Z
Pipeline_datecomp:  2024-03-20T17:50:50.156651Z
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      idMelPict1_1
InputYamlFile:      /lustre/scratch124/tol/projects/darwin/data/insects/Melieria_picta/assembly/draft/treeval/idMelPict1_1/idMelPict1_1.yaml
InputAssemblyData:  [[id:idMelPict1_1, sz:433193404, ln:insects, tk:null], /lustre/scratch124/tol/projects/darwin/data/insects/Melieria_picta/assembly/draft/treeval/idMelPict1_1/data/ref.fa]
Input_PacBio_Files: [[id:read, sz:7408086805], /lustre/scratch124/tol/projects/darwin/data/insects/Melieria_picta/assembly/draft/treeval/idMelPict1_1/working/work/e9/44f9a08ce812f5e0238257dc655743/in/m64221e_240104_221950.ccs.bc2070--bc2070.rmdup.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:38343178262, cn:8], /lustre/scratch124/tol/projects/darwin/data/insects/Melieria_picta/assembly/draft/treeval/idMelPict1_1/working/work/cd/9686c7e0cc4c70f771a9dcc4710325/in/47691_1#4.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (idMelPict1_1)	COMPLETED	-	1	100 MB	1	41ms	90.0%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (idMelPict1_1)	COMPLETED	-	1	100 MB	1	47ms	57.1%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (idMelPict1_1)	COMPLETED	-	1	100 MB	1	54ms	72.1%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:GrabFiles (idMelPict1_1)	COMPLETED	-	1	100 MB	1	50ms	70.8%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:CUSTOM_GETCHROMSIZES (idMelPict1_1)	COMPLETED	-	1	6 GB	1	3s	88.8%	0.0%	4.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (idMelPict1_1)	COMPLETED	-	2	12 GB	1	3s	90.2%	0.1%	284 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:GNU_SORT (idMelPict1_1)	COMPLETED	-	2	12 GB	1	16ms	90.1%	0.0%	2.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (idMelPict1_1)	COMPLETED	-	2	12 GB	1	0ms	100.2%	0.0%	32.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (idMelPict1_1)	COMPLETED	-	1	100 MB	1	0ms	58.5%	0.0%	3.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_B (idMelPict1_1)	COMPLETED	-	2	12 GB	1	17ms	38.8%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GET_LARGEST_SCAFF (idMelPict1_1)	COMPLETED	-	2	12 GB	1	52ms	17.8%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_WINDOWS (idMelPict1_1)	COMPLETED	-	2	12 GB	1	1s	131.9%	0.1%	297.3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (idMelPict1_1)	COMPLETED	-	1	6 GB	1	0ms	79.9%	0.0%	3.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (idMelPict1_1)	COMPLETED	-	1	100 MB	1	27ms	49.2%	0.0%	3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:CAT_CAT (idMelPict1_1)	COMPLETED	-	2	12 GB	1	22s	92.3%	0.0%	3.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (idMelPict1_1)	COMPLETED	-	1	1 GB	1	0ms	43.5%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:EXTRACT_TELO (idMelPict1_1)	COMPLETED	-	2	12 GB	1	17ms	99.5%	0.0%	0
