---RUN_DATA---
Pipeline_version:   v1.0.2
Pipeline_runname:   determined_faraday
Pipeline_session:   2356b429-a85f-4f32-b38c-4609c87a7727
Pipeline_duration:  19860
Pipeline_datastrt:  2024-01-05T10:37:37.330176Z
Pipeline_datecomp:  2024-01-05T16:08:38.260911Z
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      idOxyNigr1_1
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/idOxyNigr1_1.yaml
InputAssemblyData:  [[id:idOxyNigr1_1, sz:615127692, ln:insects, tk:null], /lustre/scratch124/tol/projects/darwin/data/insects/Oxycera_nigricornis/assembly/draft/treeval/idOxyNigr1_1/data/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:6712835524], /lustre/scratch124/tol/projects/darwin/data/insects/Oxycera_nigricornis/assembly/draft/treeval/idOxyNigr1_1/working/work/56/62f82b19b0fbfa644d14d42ced4912/in/m64089e_231211_144619.ccs.bc2088--bc2088.rmdup.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:35105499109, cn:7], /lustre/scratch124/tol/projects/darwin/data/insects/Oxycera_nigricornis/assembly/draft/treeval/idOxyNigr1_1/working/work/16/ce9b0dc13ef729dafa6ed8e6f2d374/in/47131_4#6.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:GrabFiles (idOxyNigr1_1)	COMPLETED	-	1	100 MB	1	45ms	91.4%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (idOxyNigr1_1)	COMPLETED	-	1	100 MB	1	46ms	99.4%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (idOxyNigr1_1)	COMPLETED	-	1	100 MB	1	41ms	100.0%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (idOxyNigr1_1)	COMPLETED	-	1	6 GB	1	2s	95.9%	0.0%	4.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (idOxyNigr1_1)	COMPLETED	-	2	12 GB	1	1s	88.7%	0.0%	4.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (idOxyNigr1_1)	COMPLETED	-	2	12 GB	1	2.6s	90.2%	0.0%	229.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (idOxyNigr1_1)	COMPLETED	-	1	100 MB	1	0ms	60.0%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GNU_SORT (idOxyNigr1_1)	COMPLETED	-	2	12 GB	1	16ms	43.2%	0.0%	2.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (idOxyNigr1_1)	COMPLETED	-	2	12 GB	1	14ms	75.7%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (idOxyNigr1_1)	COMPLETED	-	1	100 MB	1	25ms	51.2%	0.0%	2.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_WINDOWS (idOxyNigr1_1)	COMPLETED	-	2	12 GB	1	0ms	112.5%	0.0%	2.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_B (idOxyNigr1_1)	COMPLETED	-	2	12 GB	1	45ms	14.4%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (idOxyNigr1_1)	COMPLETED	-	1	6 GB	1	0ms	81.6%	0.0%	3.1 MB
