---RUN_DATA---
Pipeline_version:   v1.0.2
Pipeline_runname:   gloomy_stallman
Pipeline_session:   7626d17b-0fd9-48b7-a86e-4a9d1ecc2477
Pipeline_duration:  13664
Pipeline_datastrt:  2023-12-11T12:27:35.507121Z
Pipeline_datecomp:  2023-12-11T16:15:19.833130Z
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      idPhaFune2_1
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/idPhaFune2_1.yaml
InputAssemblyData:  [[id:idPhaFune2_1, sz:574051065, ln:insects, tk:null], /lustre/scratch124/tol/projects/darwin/data/insects/Phania_funesta/assembly/draft/treeval/idPhaFune2_1/data/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:6567232082], /lustre/scratch124/tol/projects/darwin/data/insects/Phania_funesta/assembly/draft/treeval/idPhaFune2_1/working/work/e2/a62517efc1c3159be662b5a847b148/in/m64089e_231201_161925.ccs.bc2016--bc2016.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:37613699849, cn:8], /lustre/scratch124/tol/projects/darwin/data/insects/Phania_funesta/assembly/draft/treeval/idPhaFune2_1/working/work/31/8617fa8c201b4cf7f1f0f06e4a1725/in/38212_4#6.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (idPhaFune2_1)	COMPLETED	-	1	100 MB	1	31ms	102.0%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:GrabFiles (idPhaFune2)	COMPLETED	-	1	100 MB	1	48ms	66.7%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (idPhaFune2_1)	COMPLETED	-	1	100 MB	1	42ms	107.1%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (idPhaFune2_1)	COMPLETED	-	2	12 GB	1	0ms	98.0%	0.0%	4.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (idPhaFune2_1)	COMPLETED	-	1	6 GB	1	3s	96.3%	0.0%	4.6 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (idPhaFune2_1)	COMPLETED	-	1	100 MB	1	0ms	23.4%	0.0%	3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (idPhaFune2_1)	COMPLETED	-	2	12 GB	1	4.7s	96.5%	0.1%	348.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (idPhaFune2_1)	COMPLETED	-	1	100 MB	1	28ms	43.1%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GNU_SORT (idPhaFune2_1)	COMPLETED	-	2	12 GB	1	17ms	41.3%	0.0%	2.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (idPhaFune2_1)	COMPLETED	-	2	12 GB	1	16ms	71.1%	0.0%	0
