---RUN_DATA---
Pipeline_version:   v1.1.0
Pipeline_runname:   admiring_solvay
Pipeline_session:   83496bf4-e9de-4f86-b935-60efce8f01b3
Pipeline_duration:  37249
Pipeline_datastrt:  2024-04-10T15:20:01.588119+01:00
Pipeline_datecomp:  2024-04-11T01:40:51.007732+01:00
Pipeline_entrypnt:  FULL
---INPUT_DATA---
InputSampleID:      idProMode1_2
InputYamlFile:      /nfs/treeoflife-01/teams/tola/users/dp24/new/new-new/treeval/yaml/idProMode1_2.yaml
InputAssemblyData:  [[id:idProMode1_2, sz:582461476, ln:insects, tk:null], /lustre/scratch124/tol/projects/darwin/data/insects/Protoclythia_modesta/assembly/draft/treeval/idProMode1_2/hap2.fa]
Input_PacBio_Files: [[id:read, sz:10080556820], /lustre/scratch124/tol/projects/darwin/data/insects/Protoclythia_modesta/assembly/draft/treeval/idProMode1_2/work/6d/7853a12e542660b6eb24416600717d/in/m84098_240319_110834_s1.ccs.bc2058.rmdup.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:39797574368, cn:9], /lustre/scratch124/tol/projects/darwin/data/insects/Protoclythia_modesta/assembly/draft/treeval/idProMode1_2/work/cd/ddcdf127ae29b37e68345ef7a5e3a9/in/47827_4#7.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
SANGERTOL_TREEVAL:TREEVAL:HIC_MAPPING:GrabFiles (idProMode1_2)	COMPLETED	-	1	100 MB	1	182ms	18.7%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:KMER:GrabFiles (idProMode1_2)	COMPLETED	-	1	100 MB	1	130ms	21.9%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:READ_COVERAGE:GrabFiles (idProMode1_2)	COMPLETED	-	1	100 MB	1	124ms	18.2%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:KMER_READ_COVERAGE:GrabFiles (idProMode1_2)	COMPLETED	-	1	100 MB	1	102ms	22.5%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:HIC_MAPPING:GENERATE_CRAM_CSV (idProMode1_2)	COMPLETED	-	1	100 MB	1	0ms	55.7%	0.0%	3.5 MB
SANGERTOL_TREEVAL:TREEVAL:TELO_FINDER:FIND_TELOMERE_REGIONS (idProMode1_2)	COMPLETED	-	2	12 GB	1	3.9s	97.9%	0.0%	236.2 MB
SANGERTOL_TREEVAL:TREEVAL:GENERATE_GENOME:GENERATE_SORTED_GENOME:CUSTOM_GETCHROMSIZES (idProMode1_2)	COMPLETED	-	1	6 GB	1	2s	96.8%	0.0%	4.8 MB
SANGERTOL_TREEVAL:TREEVAL:GAP_FINDER:SEQTK_CUTN (idProMode1_2)	COMPLETED	-	2	12 GB	1	1s	96.4%	0.0%	4.2 MB
SANGERTOL_TREEVAL:TREEVAL:SELFCOMP:SELFCOMP_SPLITFASTA (idProMode1_2)	COMPLETED	-	1	6 GB	1	10s	96.9%	0.2%	737.8 MB
SANGERTOL_TREEVAL:TREEVAL:GENERATE_GENOME:GENERATE_SORTED_GENOME:GNU_SORT (idProMode1_2)	COMPLETED	-	2	12 GB	1	17ms	42.1%	0.0%	2.8 MB
