---RUN_DATA---
Pipeline_version:   v1.1.0
Pipeline_runname:   zen_baekeland
Pipeline_session:   5b696aaa-eb8b-4607-981f-0c5e8f2e7a98
Pipeline_duration:  29032
Pipeline_datastrt:  2024-04-10T16:27:47.943025+01:00
Pipeline_datecomp:  2024-04-11T00:31:40.480591+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      idProMode1_3
InputYamlFile:      /nfs/treeoflife-01/teams/tola/users/dp24/new/new-new/treeval/yaml/idProMode1_3.yaml
InputAssemblyData:  [[id:idProMode1_3, sz:1259407444, ln:insects, tk:null], /lustre/scratch124/tol/projects/darwin/data/insects/Protoclythia_modesta/assembly/draft/treeval/idProMode1_3/merged.fa]
Input_PacBio_Files: [[id:read, sz:10080556820], /lustre/scratch124/tol/projects/darwin/data/insects/Protoclythia_modesta/assembly/draft/treeval/idProMode1_3/work/27/b7948f10b3e965e82a5ac9516df14f/in/m84098_240319_110834_s1.ccs.bc2058.rmdup.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:39797574368, cn:9], /lustre/scratch124/tol/projects/darwin/data/insects/Protoclythia_modesta/assembly/draft/treeval/idProMode1_3/work/6d/a2730f0a6c63f8d249b19a59ad67dc/in/47827_4#7.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (idProMode1_3)	COMPLETED	-	1	100 MB	1	131ms	18.0%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:GrabFiles (idProMode1_3)	COMPLETED	-	1	100 MB	1	140ms	17.2%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (idProMode1_3)	COMPLETED	-	1	100 MB	1	132ms	16.7%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (idProMode1_3)	COMPLETED	-	1	100 MB	1	76ms	28.8%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (idProMode1_3)	COMPLETED	-	1	100 MB	1	0ms	64.5%	0.0%	3.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (idProMode1_3)	COMPLETED	-	2	12 GB	1	4s	73.8%	0.0%	123.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:CUSTOM_GETCHROMSIZES (idProMode1_3)	COMPLETED	-	1	6 GB	1	5s	97.7%	0.0%	6.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (idProMode1_3)	COMPLETED	-	2	12 GB	1	8s	97.8%	0.1%	261.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (idProMode1_3)	COMPLETED	-	1	1 GB	1	0ms	43.9%	0.0%	3.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (idProMode1_3)	COMPLETED	-	1	100 MB	1	21ms	59.5%	0.0%	0
