---RUN_DATA---
Pipeline_version:   v1.1.0
Pipeline_runname:   nostalgic_carson
Pipeline_session:   602ab1bc-ca61-436c-9d6a-2e4136502db8
Pipeline_duration:  24929
Pipeline_datastrt:  2024-06-17T12:21:35.697495+01:00
Pipeline_datecomp:  2024-06-17T19:17:05.325135+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      idXylAter1_2
InputYamlFile:      /lustre/scratch124/tol/projects/darwin/data/insects/Xylophagus_ater/assembly/draft/treeval/idXylAter1_2/idXylAter1_2.yaml
InputAssemblyData:  [[id:idXylAter1_2, sz:1126327185, ln:, tk:null], /lustre/scratch122/tol/data/f/1/0/3/e/d/Xylophagus_ater/assembly/draft/treeval/idXylAter1_2/raw/merged.fa]
Input_PacBio_Files: [[id:read, sz:5058099549], /lustre/scratch122/tol/data/f/1/0/3/e/d/Xylophagus_ater/assembly/draft/treeval/idXylAter1_2/working/work/20/ed67937e6acf2e8fc16e2665014183/in/m64097e_221020_140923.ccs.bc1015_BAK8B_OA--bc1015_BAK8B_OA.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:34664048887, cn:8], /lustre/scratch122/tol/data/f/1/0/3/e/d/Xylophagus_ater/assembly/draft/treeval/idXylAter1_2/working/work/80/039c2dc536b5730f8b91351183371a/in/46108_3#4.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (idXylAter1_2)	COMPLETED	-	1	100 MB	1	12ms	94.7%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (idXylAter1_2)	COMPLETED	-	1	100 MB	1	11ms	94.7%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (idXylAter1_2)	COMPLETED	-	1	100 MB	1	12ms	129.0%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (idXylAter1_2)	COMPLETED	-	2	12 GB	1	2s	84.6%	0.0%	65.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (idXylAter1_2)	COMPLETED	-	2	12 GB	1	7.6s	95.5%	0.0%	153.3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_UNSORTED_GENOME:CUSTOM_GETCHROMSIZES (idXylAter1_2)	COMPLETED	-	1	6 GB	1	8s	92.3%	0.0%	6.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (idXylAter1_2)	COMPLETED	-	1	100 MB	1	0ms	63.0%	0.0%	1.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_B (idXylAter1_2)	COMPLETED	-	2	12 GB	1	37ms	22.4%	0.0%	2.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (idXylAter1_2)	COMPLETED	-	1	6 GB	1	1s	89.0%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GET_LARGEST_SCAFF (idXylAter1_2)	COMPLETED	-	2	12 GB	1	17ms	115.8%	0.0%	0
