---RUN_DATA---
Pipeline_version:   v1.1.0
Pipeline_runname:   thirsty_cray
Pipeline_session:   874be3eb-0aec-4beb-888f-24712743fed7
Pipeline_duration:  8425
Pipeline_datastrt:  2024-06-20T14:11:28.110254+01:00
Pipeline_datecomp:  2024-06-20T16:31:53.587181+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      ieEpeAssi2_1
InputYamlFile:      /lustre/scratch124/tol/projects/external_curation/data/insects/Epeorus_assimilis/assembly/draft/treeval/ieEpeAssi2_1/ieEpeAssi2_1.yaml
InputAssemblyData:  [[id:ieEpeAssi2_1, sz:411883736, ln:, tk:null], /lustre/scratch124/tol/projects/external_curation/data/insects/Epeorus_assimilis/assembly/draft/treeval/ieEpeAssi2_1/raw/ref.fa]
Input_PacBio_Files: [[id:read, sz:42036243], /lustre/scratch124/tol/projects/external_curation/data/insects/Epeorus_assimilis/assembly/draft/treeval/ieEpeAssi2_1/working/work/02/a6b9454d4e68a63b51817a5159ce07/in/m64156_230823_224718.bc2016--bc2016.hifi_reads.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:15447424394, cn:4], /lustre/scratch124/tol/projects/external_curation/data/insects/Epeorus_assimilis/assembly/draft/treeval/ieEpeAssi2_1/working/work/14/9db6617d31b6ff90e8040326ed6a7c/in/HiC_EA_L1_L2_1.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (ieEpeAssi2_1)	COMPLETED	-	1	100 MB	1	10ms	103.4%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (ieEpeAssi2_1)	COMPLETED	-	1	100 MB	1	9ms	92.8%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (ieEpeAssi2_1)	COMPLETED	-	1	100 MB	1	8ms	83.3%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:CUSTOM_GETCHROMSIZES (ieEpeAssi2_1)	COMPLETED	-	1	6 GB	1	2s	93.3%	0.0%	4.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (ieEpeAssi2_1)	COMPLETED	-	1	100 MB	1	0ms	62.0%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (ieEpeAssi2_1)	COMPLETED	-	2	12 GB	1	1s	86.6%	0.0%	5.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (ieEpeAssi2_1)	COMPLETED	-	2	12 GB	1	2.8s	98.1%	0.0%	113.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:CAT_CAT (ieEpeAssi2_1)	COMPLETED	-	2	12 GB	1	6s	98.7%	0.0%	3.3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:FASTK_FASTK (ieEpeAssi2_1)	COMPLETED	-	25	100 GB	1	6.4s	739.9%	0.1%	2 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:MINIMAP2_ALIGN (ieEpeAssi2_1)	COMPLETED	-	20	50 GB	1	22s	1141.8%	3.4%	12.7 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:GNU_SORT (ieEpeAssi2_1)	COMPLETED	-	2	12 GB	1	15ms	40.8%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (ieEpeAssi2_1)	COMPLETED	-	1	1 GB	1	0ms	52.5%	0.0%	3.1 MB
