---RUN_DATA---
Pipeline_version:   v1.1.0
Pipeline_runname:   distraught_albattani
Pipeline_session:   a2bfedd1-7714-4055-82e5-9520ae29d2fc
Pipeline_duration:  80
Pipeline_datastrt:  2024-06-20T15:28:55.361186+01:00
Pipeline_datecomp:  2024-06-20T15:30:16.214625+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      ihArtPasu2_2
InputYamlFile:      /lustre/scratch124/tol/projects/darwin/data/insects/Arthaldeus_pascuellus/assembly/draft/treeval/ihArtPasu2_2/ihArtPasu2_2.yaml
InputAssemblyData:  [[id:ihArtPasu2_2, sz:2667991380, ln:, tk:null], /lustre/scratch122/tol/data/e/c/b/1/b/7/Arthaldeus_pascuellus/assembly/draft/treeval/ihArtPasu2_2/raw/merged.fa]
Input_PacBio_Files: [[id:read, sz:10627793142], /lustre/scratch122/tol/data/e/c/b/1/b/7/Arthaldeus_pascuellus/assembly/draft/treeval/ihArtPasu2_2/working/work/9b/e7af170092edced33daba3b5c6d5ce/in/m84098_240515_103241_s3.ccs.bc2087.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:318574398491, cn:64], /lustre/scratch122/tol/data/e/c/b/1/b/7/Arthaldeus_pascuellus/assembly/draft/treeval/ihArtPasu2_2/working/work/af/cb7568218fdabf1b9faa1f7bc33751/in/47122_2#1.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_BWAMEM2:BWAMEM2_INDEX (merged.fa)	CACHED	-	1	75 GB	1	28m 55s	99.5%	15.6%	58.7 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (ihArtPasu2_2)	CACHED	-	2	12 GB	1	46.7s	100.0%	0.1%	529.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (ihArtPasu2_2)	CACHED	-	1	100 MB	1	0ms	37.5%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (ihArtPasu2_2)	CACHED	-	6	4.5 GB	1	11m 39s	100.0%	1.2%	4.6 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (ihArtPasu2_2)	CACHED	-	1	100 MB	1	10ms	94.7%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (ihArtPasu2_2)	CACHED	-	1	100 MB	1	11ms	109.8%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (ihArtPasu2_2)	CACHED	-	2	12 GB	1	6s	63.0%	0.1%	264.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_UNSORTED_GENOME:CUSTOM_GETCHROMSIZES (ihArtPasu2_2)	CACHED	-	1	6 GB	1	14s	95.5%	0.0%	6.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (ihArtPasu2_2)	CACHED	-	1	100 MB	1	17ms	76.9%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_USTAT (ihArtPasu2_2)	CACHED	-	1	2 GB	1	28m 7s	99.4%	0.3%	751.8 MB
