---RUN_DATA---
Pipeline_version:   v1.1.0
Pipeline_runname:   sleepy_kimura
Pipeline_session:   5fc89c1e-b6f7-44bd-97a5-86921134bd45
Pipeline_duration:  30199
Pipeline_datastrt:  2024-06-21T13:56:53.401701+01:00
Pipeline_datecomp:  2024-06-21T22:20:12.958879+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      ihCicViri2_1
InputYamlFile:      /lustre/scratch124/tol/projects/darwin/data/insects/Cicadella_viridis/assembly/draft/treeval/ihCicViri2_1/ihCicViri2_1.yaml
InputAssemblyData:  [[id:ihCicViri2_1, sz:1520444828, ln:, tk:null], /lustre/scratch122/tol/data/3/7/4/2/d/4/Cicadella_viridis/assembly/draft/treeval/ihCicViri2_1/raw/ref.fa]
Input_PacBio_Files: [[id:read, sz:10071457335], /lustre/scratch122/tol/data/3/7/4/2/d/4/Cicadella_viridis/assembly/draft/treeval/ihCicViri2_1/working/work/8d/7eec5990c1e660daf8aee859e6cabb/in/m84093_240415_115043_s4.ccs.bc2088.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:334356662317, cn:66], /lustre/scratch122/tol/data/3/7/4/2/d/4/Cicadella_viridis/assembly/draft/treeval/ihCicViri2_1/working/work/89/effbf92a79cbaa289c85e76fd3e816/in/47131_3#1.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (ihCicViri2_1)	CACHED	-	1	100 MB	1	11ms	112.1%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (ihCicViri2_1)	CACHED	-	1	100 MB	1	15ms	76.3%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_BWAMEM2:BWAMEM2_INDEX (ref.fa)	CACHED	-	1	43 GB	1	14m 42s	99.3%	8.9%	33.4 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (ihCicViri2_1)	CACHED	-	2	12 GB	1	2s	78.5%	0.1%	201 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (ihCicViri2_1)	CACHED	-	2	12 GB	1	18.1s	100.2%	0.1%	398 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (ihCicViri2_1)	CACHED	-	6	3 GB	1	11m 52s	100.0%	0.4%	1.5 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (ihCicViri2_1)	CACHED	-	1	100 MB	1	9ms	84.1%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (ihCicViri2_1)	CACHED	-	1	100 MB	1	1s	39.7%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_UNSORTED_GENOME:CUSTOM_GETCHROMSIZES (ihCicViri2_1)	CACHED	-	1	6 GB	1	10s	95.5%	0.0%	4.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_USTAT (ihCicViri2_1)	CACHED	-	1	1 GB	1	16m 13s	99.3%	0.1%	550.4 MB
