---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   jovial_visvesvaraya
Pipeline_session:   50401dad-0429-4ab8-8729-49a335997b24
Pipeline_duration:  251011
Pipeline_datastrt:  2023-11-14T10:18:52.864869Z
Pipeline_datecomp:  2023-11-17T08:02:24.756351Z
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      ihPseVibu3_1
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/ihPseVibu3_1.yaml
InputAssemblyData:  [[id:ihPseVibu3_1, sz:498501987, ln:insects, tk:DTOL], /lustre/scratch124/tol/projects/darwin/data/insects/Pseudococcus_viburni/assembly/draft/treeval/ihPseVibu3_1/data/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:5407229108], /lustre/scratch124/tol/projects/darwin/data/insects/Pseudococcus_viburni/assembly/draft/treeval/ihPseVibu3_1/working/work/b2/8d210b84eb60ee665ae01a528e5f24/in/m64230e_230519_162843.ccs.bc1002_BAK8A_OA--bc1002_BAK8A_OA.rmdup.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:25496686496], /lustre/scratch124/tol/projects/darwin/data/insects/Pseudococcus_viburni/assembly/draft/treeval/ihPseVibu3_1/working/work/54/4415919e98ef72f89f009a3c0c2a55/in/43500_2#1.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (ihPseVibu3_1)	COMPLETED	-	1	6 GB	1	45ms	83.8%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:GrabFiles (ihPseVibu3_1)	COMPLETED	-	1	6 GB	1	43ms	89.8%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (ihPseVibu3_1)	COMPLETED	-	1	6 GB	1	31ms	85.1%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (ihPseVibu3_1)	COMPLETED	-	2	12 GB	1	0ms	81.4%	0.0%	6.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (ihPseVibu3_1)	COMPLETED	-	2	12 GB	1	1s	86.0%	0.0%	4.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (ihPseVibu3_1)	COMPLETED	-	1	6 GB	1	3s	95.4%	0.0%	6.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (ihPseVibu3_1)	COMPLETED	-	2	12 GB	1	17ms	105.5%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (ihPseVibu3_1)	COMPLETED	-	2	12 GB	1	16ms	141.4%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:MINIMAP2_INDEX (1)	COMPLETED	-	6	36 GB	1	15s	198.6%	0.4%	2.9 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GNU_SORT (ihPseVibu3_1)	COMPLETED	-	2	12 GB	1	14ms	100.8%	0.0%	2.8 MB
