---RUN_DATA---
Pipeline_version:   v1.1.0
Pipeline_runname:   big_roentgen
Pipeline_session:   42ebd777-45ed-4a94-a589-514887f9abc9
Pipeline_duration:  17923
Pipeline_datastrt:  2024-06-10T10:35:04.975103+01:00
Pipeline_datecomp:  2024-06-10T15:33:48.692588+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      ilAclFerr2_1
InputYamlFile:      /lustre/scratch124/tol/projects/darwin/data/insects/Acleris_ferrugana/assembly/draft/treeval/ilAclFerr2_1/ilAclFerr2_1.yaml
InputAssemblyData:  [[id:ilAclFerr2_1, sz:489338689, ln:, tk:null], /lustre/scratch122/tol/data/e/b/4/9/6/b/Acleris_ferrugana/assembly/draft/treeval/ilAclFerr2_1/raw/ref.fa]
Input_PacBio_Files: [[id:read, sz:6478352467], /lustre/scratch122/tol/data/e/b/4/9/6/b/Acleris_ferrugana/assembly/draft/treeval/ilAclFerr2_1/working/work/d6/ff4c501e5aa1429e163a33d534d338/in/m64178e_231011_133058.ccs.bc2005--bc2005.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:44512974868, cn:10], /lustre/scratch122/tol/data/e/b/4/9/6/b/Acleris_ferrugana/assembly/draft/treeval/ilAclFerr2_1/working/work/61/9c70b5f0ff9bfb6c1fc24fe8651adb/in/38212_3#6.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (ilAclFerr2_1)	COMPLETED	-	1	100 MB	1	12ms	84.9%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (ilAclFerr2_1)	COMPLETED	-	1	100 MB	1	11ms	51.7%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (ilAclFerr2_1)	COMPLETED	-	1	100 MB	1	12ms	97.8%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (ilAclFerr2_1)	COMPLETED	-	1	100 MB	1	0ms	66.4%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (ilAclFerr2_1)	COMPLETED	-	2	12 GB	1	1s	74.7%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_UNSORTED_GENOME:CUSTOM_GETCHROMSIZES (ilAclFerr2_1)	COMPLETED	-	1	6 GB	1	4s	91.3%	0.0%	6.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (ilAclFerr2_1)	COMPLETED	-	2	12 GB	1	3.4s	98.7%	0.0%	103.3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (ilAclFerr2_1)	COMPLETED	-	1	1 GB	1	0ms	56.3%	0.0%	3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:CAT_CAT (ilAclFerr2_1)	COMPLETED	-	2	12 GB	1	19s	99.3%	0.0%	3.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (ilAclFerr2_1)	COMPLETED	-	1	100 MB	1	26ms	46.5%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_B (ilAclFerr2_1)	COMPLETED	-	2	12 GB	1	27ms	59.8%	0.0%	4.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (ilAclFerr2_1)	COMPLETED	-	1	6 GB	1	0ms	76.2%	0.0%	5.3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GET_LARGEST_SCAFF (ilAclFerr2_1)	COMPLETED	-	2	12 GB	1	17ms	94.6%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_WINDOWS (ilAclFerr2_1)	COMPLETED	-	2	12 GB	1	6s	109.7%	0.1%	300.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:EXTRACT_TELO (ilAclFerr2_1)	COMPLETED	-	2	12 GB	1	28ms	65.8%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_C (ilAclFerr2_1)	COMPLETED	-	2	12 GB	1	90ms	41.7%	0.0%	2.8 MB
