---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   desperate_sax
Pipeline_session:   115ecce8-4aed-467a-9951-3ad0799fd79a
Pipeline_duration:  50571
Pipeline_datastrt:  2023-11-06T10:18:03.197012375Z
Pipeline_datecomp:  2023-11-07T00:20:54.231741088Z
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      ilCalCecr1_1
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/ilCalCecr1_1.yaml
InputAssemblyData:  [[id:ilCalCecr1_1, sz:738110891, ln:insects, tk:TOL], /lustre/scratch124/tol/projects/tol/data/insects/Calycopis_cecrops/assembly/draft/treeval/ilCalCecr1_1/data/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:6030645065], /lustre/scratch124/tol/projects/tol/data/insects/Calycopis_cecrops/assembly/draft/treeval/ilCalCecr1_1/working/work/d2/53d4c40acee067c188866ad95cc7fb/in/m64228e_231025_132408.ccs.bc1019_BAK8B_OA--bc1019_BAK8B_OA.rmdup.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:44606127551], /lustre/scratch124/tol/projects/tol/data/insects/Calycopis_cecrops/assembly/draft/treeval/ilCalCecr1_1/working/work/f3/cde909c5a78d9c0234c0a669265d42/in/47157_3#7.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (ilCalCecr1_1)	COMPLETED	-	1	6 GB	1	49ms	86.7%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (ilCalCecr1_1)	COMPLETED	-	1	6 GB	1	44ms	96.5%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:GrabFiles (ilCalCecr1_1)	COMPLETED	-	1	6 GB	1	46ms	91.8%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (ilCalCecr1_1)	COMPLETED	-	2	12 GB	1	1s	71.7%	0.0%	6.3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (ilCalCecr1_1)	COMPLETED	-	1	6 GB	1	3s	94.6%	0.0%	4.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (ilCalCecr1_1)	COMPLETED	-	2	12 GB	1	1s	99.3%	0.0%	17.3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (ilCalCecr1_1)	COMPLETED	-	2	12 GB	1	6.7s	95.4%	0.0%	83.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GNU_SORT (ilCalCecr1_1)	COMPLETED	-	2	12 GB	1	26ms	61.8%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (ilCalCecr1_1)	COMPLETED	-	2	12 GB	1	17ms	81.7%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (ilCalCecr1_1)	COMPLETED	-	2	12 GB	1	11ms	63.1%	0.0%	0
