---RUN_DATA---
Pipeline_version:   v1.1.0
Pipeline_runname:   friendly_mendel
Pipeline_session:   96931934-87b5-4d31-b2b4-3f1363f650eb
Pipeline_duration:  16976
Pipeline_datastrt:  2024-06-12T17:49:02.619436+01:00
Pipeline_datecomp:  2024-06-12T22:31:58.659367+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      ilCelLacu3_1
InputYamlFile:      /lustre/scratch124/tol/projects/darwin/data/insects/Celypha_lacunana/assembly/draft/treeval/ilCelLacu3_1/ilCelLacu3_1.yaml
InputAssemblyData:  [[id:ilCelLacu3_1, sz:648902801, ln:, tk:null], /lustre/scratch122/tol/data/8/6/a/7/6/c/Celypha_lacunana/assembly/draft/treeval/ilCelLacu3_1/raw/ref.fa]
Input_PacBio_Files: [[id:read, sz:13595155210], /lustre/scratch122/tol/data/8/6/a/7/6/c/Celypha_lacunana/assembly/draft/treeval/ilCelLacu3_1/working/work/83/d104c16eb75ec575a7dd81b20bf7a7/in/m84093_240604_111850_s3.ccs.bc2087.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:30906361576, cn:7], /lustre/scratch122/tol/data/8/6/a/7/6/c/Celypha_lacunana/assembly/draft/treeval/ilCelLacu3_1/working/work/93/eaa9f439b08fdd6331eeb6bdd4cb99/in/47274_2#3.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (ilCelLacu3_1)	COMPLETED	-	1	100 MB	1	10ms	96.8%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (ilCelLacu3_1)	COMPLETED	-	1	100 MB	1	14ms	95.2%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (ilCelLacu3_1)	COMPLETED	-	1	100 MB	1	10ms	97.8%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (ilCelLacu3_1)	COMPLETED	-	1	100 MB	1	1s	69.0%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_UNSORTED_GENOME:CUSTOM_GETCHROMSIZES (ilCelLacu3_1)	COMPLETED	-	1	6 GB	1	5s	95.4%	0.0%	4.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (ilCelLacu3_1)	COMPLETED	-	2	12 GB	1	1s	79.1%	0.0%	70.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (ilCelLacu3_1)	COMPLETED	-	1	6 GB	1	0ms	79.9%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (ilCelLacu3_1)	COMPLETED	-	2	12 GB	1	5.7s	98.0%	0.0%	137.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_WINDOWS (ilCelLacu3_1)	COMPLETED	-	2	12 GB	1	10s	105.8%	0.1%	376.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_B (ilCelLacu3_1)	COMPLETED	-	2	12 GB	1	15ms	43.2%	0.0%	2.8 MB
