---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   angry_wescoff
Pipeline_session:   18a31ad6-7a08-4437-ad52-2e751dbf88d2
Pipeline_duration:  20142
Pipeline_datastrt:  2023-09-27T10:43:28.159746206+01:00
Pipeline_datecomp:  2023-09-27T16:19:10.664913927+01:00
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      ilChlVata1_1
InputYamlFile:      ilChlVata1.yaml
InputAssemblyData:  [[id:ilChlVata1_1, sz:280094388, ln:insects, tk:DTOL], /nfs/treeoflife-01/teams/tola/users/dp24/treeval/raw_data/ilChlVata1.fa]
Input_PacBio_Files: [[id:pacbio, sz:4153862524], /nfs/treeoflife-01/teams/tola/users/dp24/treeval/work/99/257d150ab0f6c826c7af25bb077716/in/m64228e_210320_154918.ccs.bc1017_BAK8B_OA--bc1017_BAK8B_OA.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:29345763931], /nfs/treeoflife-01/teams/tola/users/dp24/treeval/work/b9/e1d1bb0d2133bdb9be0e3a8dd0462f/in/47798_2#5.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (ilChlVata1_1)	COMPLETED	-	1	6 GB	1	39ms	89.0%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (ilChlVata1_1)	COMPLETED	-	1	6 GB	1	37ms	94.0%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (ilChlVata1_1)	COMPLETED	-	2	12 GB	1	0ms	66.0%	0.0%	6.3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (ilChlVata1_1)	COMPLETED	-	1	6 GB	1	1s	94.1%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GNU_SORT (ilChlVata1_1)	COMPLETED	-	2	12 GB	1	17ms	79.5%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (ilChlVata1_1)	COMPLETED	-	2	12 GB	1	13ms	50.4%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (ilChlVata1_1)	COMPLETED	-	1	6 GB	1	0ms	63.2%	0.0%	5 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_B (ilChlVata1_1)	COMPLETED	-	2	12 GB	1	18ms	76.2%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_C (ilChlVata1_1)	COMPLETED	-	2	12 GB	1	43ms	61.0%	0.0%	2.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (ilChlVata1_1)	COMPLETED	-	2	12 GB	1	2.7s	95.6%	0.0%	47.4 MB
