---RUN_DATA---
Pipeline_version:   v1.1.0
Pipeline_runname:   golden_yonath
Pipeline_session:   9ac7e27a-75cd-459a-81b8-1f246bee474e
Pipeline_duration:  12255
Pipeline_datastrt:  2024-04-05T09:04:59.001794+01:00
Pipeline_datecomp:  2024-04-05T12:29:14.947942+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      ilDirDero1_1
InputYamlFile:      /lustre/scratch125/tol/teams/meier/data/assemblies_Sanger/insects/Dircenna_dero/assembly/draft/treeval/ilDirDero1_1/ilDirDero1_1.yaml
InputAssemblyData:  [[id:ilDirDero1_1, sz:275152564, ln:insects, tk:null], /lustre/scratch125/tol/teams/meier/data/assemblies_Sanger/insects/Dircenna_dero/assembly/draft/treeval/ilDirDero1_1/data/ref.fa]
Input_PacBio_Files: [[id:read, sz:5024956116], /lustre/scratch125/tol/teams/meier/data/assemblies_Sanger/insects/Dircenna_dero/assembly/draft/treeval/ilDirDero1_1/working/work/c2/571577b3dd5cecd0bd60b0f7e1cea2/in/m84098_240327_114040_s3.ccs.bc2076.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:33031718232, cn:8], /lustre/scratch125/tol/teams/meier/data/assemblies_Sanger/insects/Dircenna_dero/assembly/draft/treeval/ilDirDero1_1/working/work/a4/cc0ba32629214b223b1026ff156262/in/48314_1-2#4.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (ilDirDero1_1)	COMPLETED	-	1	100 MB	1	50ms	71.1%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (ilDirDero1_1)	COMPLETED	-	1	100 MB	1	67ms	61.0%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:GrabFiles (ilDirDero1_1)	COMPLETED	-	1	100 MB	1	40ms	83.3%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (ilDirDero1_1)	COMPLETED	-	1	100 MB	1	53ms	64.4%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:CAT_CAT (ilDirDero1_1)	COMPLETED	-	2	12 GB	1	13s	99.5%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:CUSTOM_GETCHROMSIZES (ilDirDero1_1)	COMPLETED	-	1	6 GB	1	1s	95.6%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (ilDirDero1_1)	COMPLETED	-	2	12 GB	1	1.9s	93.4%	0.0%	62.3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (ilDirDero1_1)	COMPLETED	-	1	100 MB	1	0ms	66.8%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (ilDirDero1_1)	COMPLETED	-	2	12 GB	1	0ms	89.8%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (ilDirDero1_1)	COMPLETED	-	1	100 MB	1	28ms	25.1%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:GNU_SORT (ilDirDero1_1)	COMPLETED	-	2	12 GB	1	19ms	40.8%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (ilDirDero1_1)	COMPLETED	-	1	1 GB	1	0ms	50.3%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_WINDOWS (ilDirDero1_1)	COMPLETED	-	2	12 GB	1	1s	121.7%	0.1%	301.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:CAT_CAT (ilDirDero1_1)	COMPLETED	-	2	12 GB	1	47s	92.9%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_B (ilDirDero1_1)	COMPLETED	-	2	12 GB	1	16ms	75.7%	0.0%	2.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (ilDirDero1_1)	COMPLETED	-	1	6 GB	1	0ms	77.5%	0.0%	3.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GET_LARGEST_SCAFF (ilDirDero1_1)	COMPLETED	-	2	12 GB	1	12ms	76.6%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:EXTRACT_TELO (ilDirDero1_1)	COMPLETED	-	2	12 GB	1	26ms	79.0%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_C (ilDirDero1_1)	COMPLETED	-	2	12 GB	1	44ms	77.8%	0.0%	6.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:TABIX_BGZIPTABIX (ilDirDero1_1)	COMPLETED	-	1	1 GB	1	0ms	52.6%	0.0%	3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (ilDirDero1_1)	COMPLETED	-	6	1.5 GB	1	1m 3s	98.5%	0.0%	352.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_USTAT (ilDirDero1_1)	COMPLETED	-	1	1 GB	1	1m 7s	98.0%	0.0%	100.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:EXTRACT_REPEAT (ilDirDero1_1)	COMPLETED	-	2	12 GB	1	7s	99.2%	0.0%	6.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_INTERSECT (ilDirDero1_1)	COMPLETED	-	1	6 GB	1	3s	95.8%	0.2%	841.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:RENAME_IDS (ilDirDero1_1)	COMPLETED	-	2	12 GB	1	439ms	106.8%	0.0%	8.8 MB
