---RUN_DATA---
Pipeline_version:   v1.1.0
Pipeline_runname:   elated_legentil
Pipeline_session:   c87564d6-e4f4-46d0-a235-09cc2d90657e
Pipeline_duration:  16211
Pipeline_datastrt:  2024-04-05T09:04:58.994250+01:00
Pipeline_datecomp:  2024-04-05T13:35:10.216487+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      ilDirDero1_2
InputYamlFile:      /lustre/scratch125/tol/teams/meier/data/assemblies_Sanger/insects/Dircenna_dero/assembly/draft/treeval/ilDirDero1_2/ilDirDero1_2.yaml
InputAssemblyData:  [[id:ilDirDero1_2, sz:566663901, ln:insects, tk:null], /lustre/scratch125/tol/teams/meier/data/assemblies_Sanger/insects/Dircenna_dero/assembly/draft/treeval/ilDirDero1_2/data/ref.fa]
Input_PacBio_Files: [[id:read, sz:5024956116], /lustre/scratch125/tol/teams/meier/data/assemblies_Sanger/insects/Dircenna_dero/assembly/draft/treeval/ilDirDero1_2/working/work/0d/cae67a9eb7c8312b74f9e1baee061e/in/m84098_240327_114040_s3.ccs.bc2076.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:33031718232, cn:8], /lustre/scratch125/tol/teams/meier/data/assemblies_Sanger/insects/Dircenna_dero/assembly/draft/treeval/ilDirDero1_2/working/work/d3/463518946c4577a7f33928d0231466/in/48314_1-2#4.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:GrabFiles (ilDirDero1_2)	COMPLETED	-	1	100 MB	1	38ms	88.2%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (ilDirDero1_2)	COMPLETED	-	1	100 MB	1	53ms	69.4%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (ilDirDero1_2)	COMPLETED	-	1	100 MB	1	41ms	78.1%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (ilDirDero1_2)	COMPLETED	-	1	100 MB	1	49ms	73.5%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:CAT_CAT (ilDirDero1_2)	COMPLETED	-	2	12 GB	1	15s	100.3%	0.0%	3.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_UNSORTED_GENOME:CUSTOM_GETCHROMSIZES (ilDirDero1_2)	COMPLETED	-	1	6 GB	1	3s	96.7%	0.0%	4.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (ilDirDero1_2)	COMPLETED	-	1	100 MB	1	0ms	49.8%	0.0%	1.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (ilDirDero1_2)	COMPLETED	-	2	12 GB	1	1s	100.6%	0.0%	21.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (ilDirDero1_2)	COMPLETED	-	2	12 GB	1	3.9s	85.6%	0.0%	62.3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:CAT_CAT (ilDirDero1_2)	COMPLETED	-	2	12 GB	1	14s	99.5%	0.0%	3.6 MB
