---RUN_DATA---
Pipeline_version:   v1.1.0
Pipeline_runname:   disturbed_descartes
Pipeline_session:   6a36ad38-df5d-479d-b15f-e01ba4319b7e
Pipeline_duration:  18025
Pipeline_datastrt:  2024-04-21T17:46:06.994646+01:00
Pipeline_datecomp:  2024-04-21T22:46:32.483836+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      ilEarClor1_2
InputYamlFile:      /lustre/scratch124/tol/projects/darwin/data/insects/Earias_clorana/assembly/draft/treeval/ilEarClor1_2/ilEarClor1_2.yaml
InputAssemblyData:  [[id:ilEarClor1_2, sz:745717337, ln:insects, tk:null], /lustre/scratch124/tol/projects/darwin/data/insects/Earias_clorana/assembly/draft/treeval/ilEarClor1_2/data/ref.fa]
Input_PacBio_Files: [[id:read, sz:7097173407], /lustre/scratch124/tol/projects/darwin/data/insects/Earias_clorana/assembly/draft/treeval/ilEarClor1_2/working/work/d6/1dcf6836f51f208195577170e963c2/in/m64089e_230922_002913.ccs.bc2007--bc2007.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:33085100445, cn:8], /lustre/scratch124/tol/projects/darwin/data/insects/Earias_clorana/assembly/draft/treeval/ilEarClor1_2/working/work/e1/150d53cdc050f025de1ecb1f34e7c5/in/48791_7-8#3.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (ilEarClor1_2)	COMPLETED	-	1	100 MB	1	61ms	62.3%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (ilEarClor1_2)	COMPLETED	-	1	100 MB	1	43ms	72.5%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (ilEarClor1_2)	COMPLETED	-	1	100 MB	1	41ms	97.3%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:GrabFiles (ilEarClor1_2)	COMPLETED	-	1	100 MB	1	69ms	52.2%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_UNSORTED_GENOME:CUSTOM_GETCHROMSIZES (ilEarClor1_2)	COMPLETED	-	1	6 GB	1	3s	96.7%	0.0%	4.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (ilEarClor1_2)	COMPLETED	-	1	100 MB	1	1s	28.9%	0.0%	6.3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (ilEarClor1_2)	COMPLETED	-	2	12 GB	1	1s	98.0%	0.0%	4.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (ilEarClor1_2)	COMPLETED	-	2	12 GB	1	5s	99.6%	0.0%	37.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (ilEarClor1_2)	COMPLETED	-	1	100 MB	1	27ms	47.8%	0.0%	2.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:CAT_CAT (ilEarClor1_2)	COMPLETED	-	2	12 GB	1	19s	100.4%	0.0%	3.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:CAT_CAT (ilEarClor1_2)	COMPLETED	-	2	12 GB	1	20s	99.6%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (ilEarClor1_2)	COMPLETED	-	1	6 GB	1	0ms	56.4%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_B (ilEarClor1_2)	COMPLETED	-	2	12 GB	1	13ms	53.8%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GET_LARGEST_SCAFF (ilEarClor1_2)	COMPLETED	-	2	12 GB	1	11ms	92.1%	0.0%	0
