---RUN_DATA---
Pipeline_version:   v1.0.2
Pipeline_runname:   prickly_descartes
Pipeline_session:   cd47af25-ccd3-49b9-8320-06111e303002
Pipeline_duration:  29499
Pipeline_datastrt:  2024-03-26T15:57:32.075825Z
Pipeline_datecomp:  2024-03-27T00:09:11.512142Z
Pipeline_entrypnt:  FULL
---INPUT_DATA---
InputSampleID:      ilEpeChae1_2
InputYamlFile:      /nfs/treeoflife-01/teams/tola/users/dp24/new/new-new/treeval/ilEpeChae1_2.yaml
InputAssemblyData:  [[id:ilEpeChae1_2, sz:824966398, ln:insects, tk:null], /lustre/scratch124/tol/projects/darwin/data/insects/Epermenia_chaerophyllella/assembly/draft/treeval/ilEpeChae1_2/merged.fa]
Input_PacBio_Files: [[id:read, sz:6259853876], /lustre/scratch124/tol/projects/darwin/data/insects/Epermenia_chaerophyllella/assembly/draft/treeval/ilEpeChae1_2/work/35/00171deeb8578d87b65dc1d2d5f1c6/in/m64094e_230328_191300.ccs.bc1010_BAK8A_OA--bc1010_BAK8A_OA.rmdup.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:31857975052, cn:7], /lustre/scratch124/tol/projects/darwin/data/insects/Epermenia_chaerophyllella/assembly/draft/treeval/ilEpeChae1_2/work/11/3968d785c64714113e5239c7014671/in/48442_3-4#3.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
SANGERTOL_TREEVAL:TREEVAL:KMER_READ_COVERAGE:GrabFiles (ilEpeChae1_2)	COMPLETED	-	1	100 MB	1	226ms	13.1%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:READ_COVERAGE:GrabFiles (ilEpeChae1_2)	COMPLETED	-	1	100 MB	1	273ms	10.0%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:HIC_MAPPING:GrabFiles (ilEpeChae1_2)	COMPLETED	-	1	100 MB	1	173ms	13.5%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:KMER:GrabFiles (ilEpeChae1_2)	COMPLETED	-	1	100 MB	1	205ms	15.7%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:HIC_MAPPING:GENERATE_CRAM_CSV (ilEpeChae1_2)	COMPLETED	-	1	100 MB	1	0ms	41.5%	0.0%	3.5 MB
SANGERTOL_TREEVAL:TREEVAL:GAP_FINDER:SEQTK_CUTN (ilEpeChae1_2)	COMPLETED	-	2	12 GB	1	1s	98.9%	0.0%	5 MB
SANGERTOL_TREEVAL:TREEVAL:GENERATE_GENOME:GENERATE_SORTED_GENOME:CUSTOM_GETCHROMSIZES (ilEpeChae1_2)	COMPLETED	-	1	6 GB	1	3s	95.3%	0.0%	6.2 MB
SANGERTOL_TREEVAL:TREEVAL:TELO_FINDER:FIND_TELOMERE_REGIONS (ilEpeChae1_2)	COMPLETED	-	2	12 GB	1	5.2s	98.7%	0.0%	48.2 MB
SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_FA2CMAPMULTICOLOR (ilEpeChae1_2)	COMPLETED	-	2	12 GB	1	18s	90.3%	0.0%	101.6 MB
SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_FA2CMAPMULTICOLOR (ilEpeChae1_2)	COMPLETED	-	2	12 GB	1	16s	89.9%	0.0%	68.3 MB
