---RUN_DATA---
Pipeline_version:   v1.1.0
Pipeline_runname:   astonishing_kowalevski
Pipeline_session:   1b993f00-4c27-4d0d-b8a0-c8998d2cd9a0
Pipeline_duration:  20493
Pipeline_datastrt:  2024-04-21T18:21:15.864271+01:00
Pipeline_datecomp:  2024-04-22T00:02:49.285571+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      ilEreSude1_1
InputYamlFile:      /lustre/scratch124/tol/projects/tol/data/insects/Erebia_sudetica/assembly/draft/treeval/ilEreSude1_1/ilEreSude1_1.yaml
InputAssemblyData:  [[id:ilEreSude1_1, sz:493148601, ln:insects, tk:null], /lustre/scratch124/tol/projects/tol/data/insects/Erebia_sudetica/assembly/draft/treeval/ilEreSude1_1/data/ref.fa]
Input_PacBio_Files: [[id:read, sz:3600400513], /lustre/scratch124/tol/projects/tol/data/insects/Erebia_sudetica/assembly/draft/treeval/ilEreSude1_1/working/work/c4/20c4fe0e6bc6b2e11efda90cbd933c/in/m84098_240410_085659_s4.ccs.bc2082.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:34376174313, cn:8], /lustre/scratch124/tol/projects/tol/data/insects/Erebia_sudetica/assembly/draft/treeval/ilEreSude1_1/working/work/3f/c12e5cfc672bdf869247518dc34a80/in/48314_7-8#6.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:GrabFiles (ilEreSude1_1)	COMPLETED	-	1	100 MB	1	58ms	95.6%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (ilEreSude1_1)	COMPLETED	-	1	100 MB	1	64ms	85.0%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (ilEreSude1_1)	COMPLETED	-	1	100 MB	1	78ms	47.5%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (ilEreSude1_1)	COMPLETED	-	1	100 MB	1	48ms	61.0%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (ilEreSude1_1)	COMPLETED	-	1	100 MB	1	1s	31.8%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (ilEreSude1_1)	COMPLETED	-	2	12 GB	1	1s	82.2%	0.0%	4.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:CUSTOM_GETCHROMSIZES (ilEreSude1_1)	COMPLETED	-	1	6 GB	1	6s	71.2%	0.0%	4.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (ilEreSude1_1)	COMPLETED	-	1	1 GB	1	0ms	56.8%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (ilEreSude1_1)	COMPLETED	-	2	12 GB	1	8.4s	74.3%	0.0%	97.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (ilEreSude1_1)	COMPLETED	-	1	100 MB	1	30ms	21.3%	0.0%	2.9 MB
