---RUN_DATA---
Pipeline_version:   v1.1.0
Pipeline_runname:   compassionate_bose
Pipeline_session:   fe5c9773-7d5c-4d27-946e-874e8481c486
Pipeline_duration:  4989
Pipeline_datastrt:  2024-04-22T10:41:37.735172+01:00
Pipeline_datecomp:  2024-04-22T12:04:47.118046+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      ilEreSude1_2
InputYamlFile:      /lustre/scratch124/tol/projects/tol/data/insects/Erebia_sudetica/assembly/draft/treeval/ilEreSude1_2/ilEreSude1_2.yaml
InputAssemblyData:  [[id:ilEreSude1_2, sz:929006561, ln:insects, tk:null], /lustre/scratch124/tol/projects/tol/data/insects/Erebia_sudetica/assembly/draft/treeval/ilEreSude1_2/data/ref.fa]
Input_PacBio_Files: [[id:read, sz:3600400513], /lustre/scratch124/tol/projects/tol/data/insects/Erebia_sudetica/assembly/draft/treeval/ilEreSude1_2/working/work/7d/f89a184bb5db9711fc7bcd5aa86427/in/m84098_240410_085659_s4.ccs.bc2082.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:34376174313, cn:8], /lustre/scratch124/tol/projects/tol/data/insects/Erebia_sudetica/assembly/draft/treeval/ilEreSude1_2/working/work/0f/1de50a96511958bc5ab0890ccca14f/in/48314_7-8#6.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_BWAMEM2:BWAMEM2_INDEX (ref.fa)	CACHED	-	1	27 GB	1	8m 48s	99.1%	5.4%	20.4 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:GrabFiles (ilEreSude1_2)	CACHED	-	1	100 MB	1	59ms	61.6%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (ilEreSude1_2)	CACHED	-	1	100 MB	1	91ms	51.9%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (ilEreSude1_2)	CACHED	-	1	100 MB	1	77ms	69.5%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (ilEreSude1_2)	CACHED	-	1	100 MB	1	47ms	76.9%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (ilEreSude1_2)	CACHED	-	1	100 MB	1	1s	69.3%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (ilEreSude1_2)	CACHED	-	2	12 GB	1	7.4s	95.4%	0.0%	112.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (ilEreSude1_2)	CACHED	-	6	1.5 GB	1	7m 9s	99.7%	0.3%	1.2 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (ilEreSude1_2)	CACHED	-	2	12 GB	1	1s	87.3%	0.0%	50.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_UNSORTED_GENOME:CUSTOM_GETCHROMSIZES (ilEreSude1_2)	CACHED	-	1	6 GB	1	7s	82.7%	0.0%	4.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:CAT_CAT (ilEreSude1_2)	CACHED	-	2	12 GB	1	12s	94.3%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_USTAT (ilEreSude1_2)	CACHED	-	1	1 GB	1	10m 7s	98.4%	0.0%	196.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_WINDOWS (ilEreSude1_2)	CACHED	-	2	12 GB	1	3s	115.0%	0.1%	379.3 MB
