---RUN_DATA---
Pipeline_version:   v1.0.2
Pipeline_runname:   stoic_angela
Pipeline_session:   a0164e11-d01b-43c3-bb8d-e268654d091b
Pipeline_duration:  26686
Pipeline_datastrt:  2024-04-03T11:41:14.388166+01:00
Pipeline_datecomp:  2024-04-03T19:06:00.627143+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      ilEueProc1_1
InputYamlFile:      /lustre/scratch125/tol/teams/meier/data/assemblies_Sanger/insects/Eueides_procula/assembly/draft/treeval/ilEueProc1_1/ilEueProc1_1.yaml
InputAssemblyData:  [[id:ilEueProc1_1, sz:403595784, ln:insects, tk:null], /lustre/scratch122/tol/projects/meier-tmp/insects/Eueides_procula/assembly/draft/treeval/ilEueProc1_1/data/ref.fa]
Input_PacBio_Files: [[id:read, sz:3720253266], /lustre/scratch122/tol/projects/meier-tmp/insects/Eueides_procula/assembly/draft/treeval/ilEueProc1_1/working/work/43/9d8214db7e2d3305ff2da037c15050/in/m84047_240325_111035_s3.ccs.bc2003.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:33620265608, cn:7], /lustre/scratch122/tol/projects/meier-tmp/insects/Eueides_procula/assembly/draft/treeval/ilEueProc1_1/working/work/9a/f4441897b219ec7fcccb2f55fdb1c4/in/48177_1#1.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (ilEueProc1_1)	COMPLETED	-	1	100 MB	1	49ms	74.6%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (ilEueProc1_1)	COMPLETED	-	1	100 MB	1	54ms	70.0%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:GrabFiles (ilEueProc1_1)	COMPLETED	-	1	100 MB	1	52ms	65.8%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (ilEueProc1_1)	COMPLETED	-	1	100 MB	1	47ms	67.3%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (ilEueProc1_1)	COMPLETED	-	2	12 GB	1	2.6s	91.7%	0.0%	37.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (ilEueProc1_1)	COMPLETED	-	1	100 MB	1	1s	36.0%	0.0%	1.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:CUSTOM_GETCHROMSIZES (ilEueProc1_1)	COMPLETED	-	1	6 GB	1	3s	94.0%	0.0%	4.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (ilEueProc1_1)	COMPLETED	-	2	12 GB	1	0ms	92.7%	0.0%	4.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:CAT_CAT (ilEueProc1_1)	COMPLETED	-	2	12 GB	1	10s	98.7%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_WINDOWS (ilEueProc1_1)	COMPLETED	-	2	12 GB	1	3s	119.3%	0.1%	300.4 MB
