---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   goofy_goldberg
Pipeline_session:   01a207b7-daf5-4a64-90c9-c7970e32b239
Pipeline_duration:  27215
Pipeline_datastrt:  2023-10-23T14:31:40.855695416+01:00
Pipeline_datecomp:  2023-10-23T22:05:16.086533441+01:00
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      ilEupIntu1_1
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/ilEupIntu1_1.yaml
InputAssemblyData:  [[id:ilEupIntu1_1, sz:436204465, ln:insects, tk:DTOL], /lustre/scratch124/tol/projects/darwin/data/insects/Eupithecia_inturbata/assembly/draft/treeval/ilEupIntu1_1/data/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:6059239193], /lustre/scratch124/tol/projects/darwin/data/insects/Eupithecia_inturbata/assembly/draft/treeval/ilEupIntu1_1/working/work/82/c257f26c6b705675663be6fc927a59/in/m84093_231014_105146_s1.ccs.bc2018.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:36627372421], /lustre/scratch124/tol/projects/darwin/data/insects/Eupithecia_inturbata/assembly/draft/treeval/ilEupIntu1_1/working/work/6f/f96ef81560be33f8820ada3a2c4333/in/47837_4#7.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (ilEupIntu1_1)	COMPLETED	-	1	6 GB	1	55ms	87.7%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (ilEupIntu1_1)	COMPLETED	-	1	6 GB	1	50ms	66.8%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:GrabFiles (ilEupIntu1_1)	COMPLETED	-	1	6 GB	1	66ms	68.4%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (ilEupIntu1_1)	COMPLETED	-	2	12 GB	1	0ms	64.8%	0.0%	6.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (ilEupIntu1_1)	COMPLETED	-	2	12 GB	1	1s	93.2%	0.0%	4.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (ilEupIntu1_1)	COMPLETED	-	1	6 GB	1	1s	94.9%	0.0%	4.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (ilEupIntu1_1)	COMPLETED	-	2	12 GB	1	4.2s	92.3%	0.0%	45.3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (ilEupIntu1_1)	COMPLETED	-	2	12 GB	1	13ms	61.8%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GNU_SORT (ilEupIntu1_1)	COMPLETED	-	2	12 GB	1	17ms	86.5%	0.0%	2.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (ilEupIntu1_1)	COMPLETED	-	2	12 GB	1	13ms	60.4%	0.0%	0
