---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   ridiculous_cantor
Pipeline_session:   a6da9d4d-553a-46fd-a1fc-06dbcd2ad01d
Pipeline_duration:  19020
Pipeline_datastrt:  2023-11-01T13:51:36.205299416Z
Pipeline_datecomp:  2023-11-01T19:08:36.837456278Z
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      ilEupPulc1_1
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/ilEupPulc1_1.yaml
InputAssemblyData:  [[id:ilEupPulc1_1, sz:394577585, ln:insects, tk:DTOL], /lustre/scratch124/tol/projects/darwin/data/insects/Eupithecia_pulchellata/assembly/draft/treeval/ilEupPulc1_1/data/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:7905256208], /lustre/scratch124/tol/projects/darwin/data/insects/Eupithecia_pulchellata/assembly/draft/treeval/ilEupPulc1_1/working/work/3a/d66c546397ceee46c750155a448177/in/m84098_231026_113938_s3.ccs.bc1008_BAK8A_OA.rmdup.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:36459550960], /lustre/scratch124/tol/projects/darwin/data/insects/Eupithecia_pulchellata/assembly/draft/treeval/ilEupPulc1_1/working/work/6f/981f018615bcda1a613de8d1397f8c/in/47067_4#3.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (ilEupPulc1_1)	COMPLETED	-	1	6 GB	1	73ms	65.7%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:GrabFiles (ilEupPulc1_1)	COMPLETED	-	1	6 GB	1	79ms	53.7%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (ilEupPulc1_1)	COMPLETED	-	1	6 GB	1	83ms	49.6%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (ilEupPulc1_1)	COMPLETED	-	2	12 GB	1	0ms	55.6%	0.0%	6 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (ilEupPulc1_1)	COMPLETED	-	2	12 GB	1	3.9s	93.2%	0.0%	41.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (ilEupPulc1_1)	COMPLETED	-	1	6 GB	1	1s	96.0%	0.0%	4.6 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (ilEupPulc1_1)	COMPLETED	-	2	12 GB	1	0ms	92.8%	0.0%	4.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GNU_SORT (ilEupPulc1_1)	COMPLETED	-	2	12 GB	1	18ms	80.0%	0.0%	2.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (ilEupPulc1_1)	COMPLETED	-	2	12 GB	1	13ms	63.1%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:MINIMAP2_INDEX (1)	COMPLETED	-	6	36 GB	1	11s	189.7%	0.8%	2.9 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_WINDOWS (ilEupPulc1_1)	COMPLETED	-	2	12 GB	1	5s	108.7%	0.1%	301.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (ilEupPulc1_1)	COMPLETED	-	2	12 GB	1	36ms	21.8%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (ilEupPulc1_1)	COMPLETED	-	1	6 GB	1	0ms	74.7%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_B (ilEupPulc1_1)	COMPLETED	-	2	12 GB	1	78ms	9.1%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:TABIX_BGZIPTABIX (ilEupPulc1_1)	COMPLETED	-	1	6 GB	1	0ms	53.3%	0.0%	3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:EXTRACT_TELO (ilEupPulc1_1)	COMPLETED	-	2	12 GB	1	26ms	91.1%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_C (ilEupPulc1_1)	COMPLETED	-	2	12 GB	1	50ms	89.1%	0.0%	4.4 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:TABIX_BGZIPTABIX (ilEupPulc1_1)	COMPLETED	-	1	6 GB	1	0ms	55.7%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:CAT_CAT (ilEupPulc1_1)	COMPLETED	-	2	12 GB	1	23s	95.7%	0.0%	3.5 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (ilEupPulc1_1)	COMPLETED	-	2	12 GB	1	1m 39s	99.3%	0.3%	1.1 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:BWAMEM2_INDEX (ref.fa)	COMPLETED	-	1	50 GB	1	3m 51s	98.3%	2.3%	8.7 GB
