---RUN_DATA---
Pipeline_version:   v1.1.0
Pipeline_runname:   ridiculous_goldberg
Pipeline_session:   dfade33f-2292-4bfb-ad60-2aa8a67206af
Pipeline_duration:  10833
Pipeline_datastrt:  2024-04-22T10:46:11.244078+01:00
Pipeline_datecomp:  2024-04-22T13:46:44.476720+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      ilGlyFusc1_2
InputYamlFile:      /lustre/scratch124/tol/projects/darwin/data/insects/Glyphipterix_fuscoviridella/assembly/draft/treeval/ilGlyFusc1_2/ilGlyFusc1_2.yaml
InputAssemblyData:  [[id:ilGlyFusc1_2, sz:1869027888, ln:insects, tk:null], /lustre/scratch124/tol/projects/darwin/data/insects/Glyphipterix_fuscoviridella/assembly/draft/treeval/ilGlyFusc1_2/data/ref.fa]
Input_PacBio_Files: [[id:read, sz:10326022781], /lustre/scratch124/tol/projects/darwin/data/insects/Glyphipterix_fuscoviridella/assembly/draft/treeval/ilGlyFusc1_2/working/work/74/d8bdc3d7a213ce9065a882d3dff3f1/in/m84093_231124_154255_s1.ccs.bc2028.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:33067846034, cn:8], /lustre/scratch124/tol/projects/darwin/data/insects/Glyphipterix_fuscoviridella/assembly/draft/treeval/ilGlyFusc1_2/working/work/90/bbe92aa566b3dc7da6330ab4bcd2c6/in/48772_1-2#6.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (ilGlyFusc1_2)	CACHED	-	6	3 GB	1	15m 48s	100.1%	0.3%	1.3 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (ilGlyFusc1_2)	CACHED	-	2	12 GB	1	16.7s	95.3%	0.0%	110.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_BWAMEM2:BWAMEM2_INDEX (ref.fa)	CACHED	-	1	53 GB	1	25m 26s	99.5%	5.4%	41.1 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (ilGlyFusc1_2)	CACHED	-	1	100 MB	1	82ms	52.8%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_UNSORTED_GENOME:CUSTOM_GETCHROMSIZES (ilGlyFusc1_2)	CACHED	-	1	6 GB	1	7s	97.4%	0.0%	6.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (ilGlyFusc1_2)	CACHED	-	1	100 MB	1	79ms	60.9%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (ilGlyFusc1_2)	CACHED	-	1	100 MB	1	95ms	43.2%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (ilGlyFusc1_2)	CACHED	-	1	100 MB	1	0ms	33.6%	0.0%	3.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:GrabFiles (ilGlyFusc1_2)	CACHED	-	1	100 MB	1	150ms	43.2%	0.0%	3.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (ilGlyFusc1_2)	CACHED	-	2	12 GB	1	4s	92.8%	0.0%	41.7 MB
