---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   tiny_einstein
Pipeline_session:   89d487f1-9ec4-439d-9c0c-1c6bc0c283b6
Pipeline_duration:  41050
Pipeline_datastrt:  2023-11-24T11:28:50.843048Z
Pipeline_datecomp:  2023-11-24T22:53:01.189332Z
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      ilHelAnti3_1
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/ilHelAnti3_1.yaml
InputAssemblyData:  [[id:ilHelAnti3_1, sz:788422810, ln:insects, tk:TOL], /lustre/scratch125/tol/teams/meier/data/assemblies_Sanger/insects/Heliconius_antiochus/assembly/draft/treeval/ilHelAnti3_1/data/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:7924443823], /lustre/scratch125/tol/teams/meier/data/assemblies_Sanger/insects/Heliconius_antiochus/assembly/draft/treeval/ilHelAnti3_1/working/work/2b/f2129ff7a3b64250d0358d0538b47c/in/m64222e_231012_143703.ccs.bc2019--bc2019.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:38957446661], /lustre/scratch125/tol/teams/meier/data/assemblies_Sanger/insects/Heliconius_antiochus/assembly/draft/treeval/ilHelAnti3_1/working/work/43/0863d19553f6cc2c32eb6aaa1c18d8/in/48092_4#7.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (ilHelAnti3_1)	COMPLETED	-	1	100 MB	1	44ms	69.0%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (ilHelAnti3_1)	COMPLETED	-	1	100 MB	1	33ms	104.2%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:GrabFiles (ilHelAnti3_1)	COMPLETED	-	1	100 MB	1	39ms	74.1%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (ilHelAnti3_1)	COMPLETED	-	2	12 GB	1	1s	97.9%	0.0%	4.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (ilHelAnti3_1)	COMPLETED	-	1	6 GB	1	4s	96.3%	0.0%	4.6 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (ilHelAnti3_1)	COMPLETED	-	1	100 MB	1	1s	19.9%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (ilHelAnti3_1)	COMPLETED	-	2	12 GB	1	6.8s	94.8%	0.0%	50.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (ilHelAnti3_1)	COMPLETED	-	2	12 GB	1	19ms	63.4%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GNU_SORT (ilHelAnti3_1)	COMPLETED	-	2	12 GB	1	22ms	69.2%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (ilHelAnti3_1)	COMPLETED	-	2	12 GB	1	17ms	66.7%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:TABIX_BGZIPTABIX (ilHelAnti3_1)	COMPLETED	-	1	6 GB	1	0ms	49.0%	0.0%	3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:MINIMAP2_INDEX (1)	COMPLETED	-	6	36 GB	1	21s	202.4%	1.2%	4.7 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_WINDOWS (ilHelAnti3_1)	COMPLETED	-	2	12 GB	1	7s	110.8%	0.0%	306 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_B (ilHelAnti3_1)	COMPLETED	-	2	12 GB	1	21ms	75.3%	0.0%	2.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (ilHelAnti3_1)	COMPLETED	-	1	6 GB	1	0ms	84.3%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:EXTRACT_TELO (ilHelAnti3_1)	COMPLETED	-	2	12 GB	1	35ms	84.5%	0.0%	3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_C (ilHelAnti3_1)	COMPLETED	-	2	12 GB	1	81ms	93.1%	0.0%	11.4 MB
