---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   agitated_fermi
Pipeline_session:   f6d59eec-5145-4fd3-8b24-12d5033efd9e
Pipeline_duration:  23155
Pipeline_datastrt:  2023-11-10T16:49:04.931369Z
Pipeline_datecomp:  2023-11-10T23:15:00.603847Z
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      ilHelCong3_1
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/ilHelCong3_1.yaml
InputAssemblyData:  [[id:ilHelCong3_1, sz:779918479, ln:insects, tk:TOL], /lustre/scratch125/tol/teams/meier/data/assemblies_Sanger/insects/Heliconius_congener/assembly/draft/treeval/ilHelCong3_1/data/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:[967290514, 1526882306]], [/lustre/scratch125/tol/teams/meier/data/assemblies_Sanger/insects/Heliconius_congener/assembly/draft/treeval/ilHelCong3_1/working/work/a1/ffc9c67a867460d2c84e3b0d942200/in/m64089e_230722_022932.ccs.bc2070--bc2070.filtered.fasta.gz, /lustre/scratch125/tol/teams/meier/data/assemblies_Sanger/insects/Heliconius_congener/assembly/draft/treeval/ilHelCong3_1/working/work/a1/ffc9c67a867460d2c84e3b0d942200/in/m64125e_231031_084914.ccs.bc2070--bc2070.filtered.fasta.gz]]
Input_Cram_Files:   [[id:cram, sz:35982780026], /lustre/scratch125/tol/teams/meier/data/assemblies_Sanger/insects/Heliconius_congener/assembly/draft/treeval/ilHelCong3_1/working/work/d1/33523f53932674d6681ceebb453f4d/in/47731_3#8.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (ilHelCong3_1)	COMPLETED	-	1	6 GB	1	32ms	83.3%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (ilHelCong3_1)	COMPLETED	-	1	6 GB	1	39ms	107.1%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:GrabFiles (ilHelCong3_1)	COMPLETED	-	1	6 GB	1	33ms	80.5%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (ilHelCong3_1)	COMPLETED	-	1	6 GB	1	3s	94.2%	0.0%	4.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (ilHelCong3_1)	COMPLETED	-	2	12 GB	1	0ms	78.7%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (ilHelCong3_1)	COMPLETED	-	2	12 GB	1	1s	98.6%	0.0%	18.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (ilHelCong3_1)	COMPLETED	-	2	12 GB	1	6.8s	94.5%	0.0%	42.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:CAT_CAT (ilHelCong3_1)	COMPLETED	-	2	12 GB	1	7s	84.2%	0.0%	3.5 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GNU_SORT (ilHelCong3_1)	COMPLETED	-	2	12 GB	1	35ms	48.1%	0.0%	4.6 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (ilHelCong3_1)	COMPLETED	-	2	12 GB	1	18ms	91.9%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (ilHelCong3_1)	COMPLETED	-	2	12 GB	1	19ms	94.1%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_B (ilHelCong3_1)	COMPLETED	-	2	12 GB	1	20ms	76.2%	0.0%	2.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (ilHelCong3_1)	COMPLETED	-	1	6 GB	1	1s	74.3%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:TABIX_BGZIPTABIX (ilHelCong3_1)	COMPLETED	-	1	6 GB	1	0ms	53.0%	0.0%	3.1 MB
