---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   condescending_hypatia
Pipeline_session:   6916224a-a2ff-4cf7-af13-6905ff97e429
Pipeline_duration:  67923
Pipeline_datastrt:  2023-11-09T13:45:10.867915Z
Pipeline_datecomp:  2023-11-10T08:37:14.023330Z
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      ilHyaOcna1_2
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/ilHyaOcna1.yaml
InputAssemblyData:  [[id:ilHyaOcna1_2, sz:1507528488, ln:insects, tk:TOL], /lustre/scratch125/tol/teams/meier/data/assemblies_Sanger/insects/Hyalyris_ocna/assembly/draft/treeval/ilHyaOcna1_2/data/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:5033499535], /lustre/scratch125/tol/teams/meier/data/assemblies_Sanger/insects/Hyalyris_ocna/assembly/draft/treeval/ilHyaOcna1_2/working/work/c1/d667cc1b26ae796c5a7c1ed69301f2/in/m64222e_230628_010420.ccs.bc2057--bc2057.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:37547894452], /lustre/scratch125/tol/teams/meier/data/assemblies_Sanger/insects/Hyalyris_ocna/assembly/draft/treeval/ilHyaOcna1_2/working/work/0f/e283e4c9182387de5c1e03613e909e/in/47341_1#8.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (ilHyaOcna1_1)	COMPLETED	-	1	6 GB	1	39ms	85.2%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (ilHyaOcna1_1)	COMPLETED	-	1	6 GB	1	45ms	95.2%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:GrabFiles (ilHyaOcna1_1)	COMPLETED	-	1	6 GB	1	49ms	69.9%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (ilHyaOcna1_1)	COMPLETED	-	2	12 GB	1	3s	70.9%	0.0%	33.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (ilHyaOcna1_1)	COMPLETED	-	2	12 GB	1	0ms	67.6%	0.0%	6.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (ilHyaOcna1_1)	COMPLETED	-	1	6 GB	1	5s	96.8%	0.0%	4.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (ilHyaOcna1_1)	COMPLETED	-	2	12 GB	1	14ms	81.0%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GNU_SORT (ilHyaOcna1_1)	COMPLETED	-	2	12 GB	1	19ms	73.6%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (ilHyaOcna1_1)	COMPLETED	-	2	12 GB	1	14ms	81.0%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_B (ilHyaOcna1_1)	COMPLETED	-	2	12 GB	1	20ms	76.2%	0.0%	2.6 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (ilHyaOcna1_1)	COMPLETED	-	1	6 GB	1	0ms	86.5%	0.0%	6.9 MB
