---RUN_DATA---
Pipeline_version:   v1.0.2
Pipeline_runname:   distracted_kalman
Pipeline_session:   aaaffb9d-5974-48cf-a0e6-2fe2ce5901df
Pipeline_duration:  5738
Pipeline_datastrt:  2024-04-03T10:17:59.659319+01:00
Pipeline_datecomp:  2024-04-03T11:53:37.931540+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      ilHypLycs1_1
InputYamlFile:      /lustre/scratch125/tol/teams/meier/data/assemblies_Sanger/insects/Hypothyris_lycaste/assembly/draft/treeval/ilHypLycs1_1/ilHypLycs1_1.yaml
InputAssemblyData:  [[id:ilHypLycs1_1, sz:829966848, ln:insects, tk:null], /lustre/scratch122/tol/projects/meier-tmp/insects/Hypothyris_lycaste/assembly/draft/treeval/ilHypLycs1_1/data/ref.fa]
Input_PacBio_Files: [[id:read, sz:[6023883278, 3510804716]], [/lustre/scratch122/tol/projects/meier-tmp/insects/Hypothyris_lycaste/assembly/draft/treeval/ilHypLycs1_1/working/work/fb/5b176ac630628c4b45f45e933f557a/in/m64178e_240320_145925.ccs.bc2069--bc2069.filtered.fasta.gz, /lustre/scratch122/tol/projects/meier-tmp/insects/Hypothyris_lycaste/assembly/draft/treeval/ilHypLycs1_1/working/work/fb/5b176ac630628c4b45f45e933f557a/in/m64222e_231220_125955.ccs.bc2069--bc2069.filtered.fasta.gz]]
Input_Cram_Files:   [[id:cram, sz:37778605186, cn:9], /lustre/scratch122/tol/projects/meier-tmp/insects/Hypothyris_lycaste/assembly/draft/treeval/ilHypLycs1_1/working/work/27/31ed190147f6f7addd960dd1bb4c84/in/48358_3-4#5.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (ilHypLycs1_1)	CACHED	-	1	100 MB	1	41ms	82.4%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:CUSTOM_GETCHROMSIZES (ilHypLycs1_1)	CACHED	-	1	6 GB	1	8s	56.5%	0.0%	4.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (ilHypLycs1_1)	CACHED	-	6	1.5 GB	1	4m 10s	98.7%	0.3%	1.1 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (ilHypLycs1_1)	CACHED	-	2	12 GB	1	8.5s	91.9%	0.0%	71.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (ilHypLycs1_1)	CACHED	-	1	100 MB	1	43ms	95.2%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:GrabFiles (ilHypLycs1_1)	CACHED	-	1	100 MB	1	40ms	95.0%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_BWAMEM2:BWAMEM2_INDEX (ref.fa)	CACHED	-	1	24 GB	1	7m 9s	98.7%	4.8%	18.3 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (ilHypLycs1_1)	CACHED	-	1	100 MB	1	2s	20.1%	0.0%	8.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (ilHypLycs1_1)	CACHED	-	2	12 GB	1	4s	36.3%	0.0%	37 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (ilHypLycs1_1)	CACHED	-	1	100 MB	1	40ms	88.5%	0.0%	0
