---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   ridiculous_linnaeus
Pipeline_session:   88c65858-2680-4d95-956a-539c9490b0c8
Pipeline_duration:  64356
Pipeline_datastrt:  2023-11-08T14:51:15.189642Z
Pipeline_datecomp:  2023-11-09T08:43:52.044731Z
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      ilHypMoeb3_2
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/ilHypMoeb3.yaml
InputAssemblyData:  [[id:ilHypMoeb3_2, sz:844684865, ln:insects, tk:TOL], /lustre/scratch125/tol/teams/meier/data/assemblies_Sanger/insects/Hypothyris_moebiusi/assembly/draft/treeval/ilHypMoeb3_2/data/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:5388258053], /lustre/scratch125/tol/teams/meier/data/assemblies_Sanger/insects/Hypothyris_moebiusi/assembly/draft/treeval/ilHypMoeb3_2/working/work/45/c8be7a4f82e009aea04f9c57427573/in/m64089e_230818_054231.ccs.bc2048--bc2048.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:40315892888], /lustre/scratch125/tol/teams/meier/data/assemblies_Sanger/insects/Hypothyris_moebiusi/assembly/draft/treeval/ilHypMoeb3_2/working/work/f2/3037384840f48959a192f9e0f7f531/in/47431_3#5.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (ilHypMoeb3_1)	COMPLETED	-	1	6 GB	1	32ms	77.4%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (ilHypMoeb3_1)	COMPLETED	-	1	6 GB	1	36ms	78.5%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:GrabFiles (ilHypMoeb3_1)	COMPLETED	-	1	6 GB	1	36ms	98.0%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (ilHypMoeb3_1)	COMPLETED	-	2	12 GB	1	1s	85.2%	0.0%	32.6 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (ilHypMoeb3_1)	COMPLETED	-	1	6 GB	1	3s	88.5%	0.0%	5.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (ilHypMoeb3_1)	COMPLETED	-	2	12 GB	1	0ms	65.6%	0.0%	6.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (ilHypMoeb3_1)	COMPLETED	-	2	12 GB	1	7.2s	95.6%	0.0%	60.5 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (ilHypMoeb3_1)	COMPLETED	-	2	12 GB	1	43ms	54.1%	0.0%	3.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GNU_SORT (ilHypMoeb3_1)	COMPLETED	-	2	12 GB	1	25ms	56.4%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (ilHypMoeb3_1)	COMPLETED	-	2	12 GB	1	27ms	47.6%	0.0%	2.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_B (ilHypMoeb3_1)	COMPLETED	-	2	12 GB	1	22ms	65.0%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (ilHypMoeb3_1)	COMPLETED	-	1	6 GB	1	0ms	74.8%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:TABIX_BGZIPTABIX (ilHypMoeb3_1)	COMPLETED	-	1	6 GB	1	0ms	25.5%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_C (ilHypMoeb3_1)	COMPLETED	-	2	12 GB	1	138ms	82.5%	0.0%	12.3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:MINIMAP2_INDEX (1)	COMPLETED	-	6	36 GB	1	22s	201.1%	1.6%	5.8 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:CAT_CAT (ilHypMoeb3_1)	COMPLETED	-	2	12 GB	1	20s	95.7%	0.0%	3.5 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_WINDOWS (ilHypMoeb3_1)	COMPLETED	-	2	12 GB	1	13s	103.5%	0.0%	304.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:EXTRACT_TELO (ilHypMoeb3_1)	COMPLETED	-	2	12 GB	1	78ms	32.7%	0.0%	2.9 MB
