---RUN_DATA---
Pipeline_version:   v1.1.0
Pipeline_runname:   trusting_sammet
Pipeline_session:   80c42df3-9160-439f-8f5c-6adaea94a912
Pipeline_duration:  18908
Pipeline_datastrt:  2024-04-15T13:36:02.295241+01:00
Pipeline_datecomp:  2024-04-15T18:51:10.386740+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      ilHypPoli1_1
InputYamlFile:      /lustre/scratch125/tol/teams/meier/data/assemblies_Sanger/insects/Hypomenitis_polissena/assembly/draft/treeval/ilHypPoli1_1/ilHypPoli1_1.yaml
InputAssemblyData:  [[id:ilHypPoli1_1, sz:622231584, ln:insects, tk:null], /lustre/scratch125/tol/teams/meier/data/assemblies_Sanger/insects/Hypomenitis_polissena/assembly/draft/treeval/ilHypPoli1_1/data/ref.fa]
Input_PacBio_Files: [[id:read, sz:3576525399], /lustre/scratch125/tol/teams/meier/data/assemblies_Sanger/insects/Hypomenitis_polissena/assembly/draft/treeval/ilHypPoli1_1/working/work/ca/c312a5ab73f292fe046878ba14d5c0/in/m84093_240325_160348_s2.ccs.bc2025.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:36580318128, cn:9], /lustre/scratch125/tol/teams/meier/data/assemblies_Sanger/insects/Hypomenitis_polissena/assembly/draft/treeval/ilHypPoli1_1/working/work/b7/1d958ced8c23acc61713493c4d6dfd/in/48314_3-4#6.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (ilHypPoli1_1)	COMPLETED	-	1	100 MB	1	194ms	20.7%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:GrabFiles (ilHypPoli1_1)	COMPLETED	-	1	100 MB	1	179ms	24.9%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (ilHypPoli1_1)	COMPLETED	-	1	100 MB	1	145ms	22.4%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (ilHypPoli1_1)	COMPLETED	-	1	100 MB	1	134ms	19.0%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (ilHypPoli1_1)	COMPLETED	-	2	12 GB	1	1s	97.6%	0.0%	4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (ilHypPoli1_1)	COMPLETED	-	1	100 MB	1	1s	17.7%	0.0%	6.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:CUSTOM_GETCHROMSIZES (ilHypPoli1_1)	COMPLETED	-	1	6 GB	1	3s	89.1%	0.0%	6.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (ilHypPoli1_1)	COMPLETED	-	2	12 GB	1	4.4s	91.4%	0.0%	45.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (ilHypPoli1_1)	COMPLETED	-	1	1 GB	1	0ms	53.0%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (ilHypPoli1_1)	COMPLETED	-	1	100 MB	1	30ms	11.8%	0.0%	0
