---RUN_DATA---
Pipeline_version:   v1.1.0
Pipeline_runname:   loving_watson
Pipeline_session:   337f6d50-e5b3-4f0e-bf80-da5df6d392b8
Pipeline_duration:  20032
Pipeline_datastrt:  2024-04-15T13:35:59.704064+01:00
Pipeline_datecomp:  2024-04-15T19:09:52.478607+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      ilHypPoli1_2
InputYamlFile:      /lustre/scratch125/tol/teams/meier/data/assemblies_Sanger/insects/Hypomenitis_polissena/assembly/draft/treeval/ilHypPoli1_2/ilHypPoli1_2.yaml
InputAssemblyData:  [[id:ilHypPoli1_2, sz:1218116045, ln:insects, tk:null], /lustre/scratch125/tol/teams/meier/data/assemblies_Sanger/insects/Hypomenitis_polissena/assembly/draft/treeval/ilHypPoli1_2/data/ref.fa]
Input_PacBio_Files: [[id:read, sz:3576525399], /lustre/scratch125/tol/teams/meier/data/assemblies_Sanger/insects/Hypomenitis_polissena/assembly/draft/treeval/ilHypPoli1_2/working/work/32/af787e722a2a919d8b6c613d11fd1a/in/m84093_240325_160348_s2.ccs.bc2025.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:36580318128, cn:9], /lustre/scratch125/tol/teams/meier/data/assemblies_Sanger/insects/Hypomenitis_polissena/assembly/draft/treeval/ilHypPoli1_2/working/work/af/22653c8c581d63e3c443b51ffd84b5/in/48314_3-4#6.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (ilHypPoli1_2)	COMPLETED	-	1	100 MB	1	112ms	23.7%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (ilHypPoli1_2)	COMPLETED	-	1	100 MB	1	200ms	16.5%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:GrabFiles (ilHypPoli1_2)	COMPLETED	-	1	100 MB	1	164ms	18.0%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (ilHypPoli1_2)	COMPLETED	-	1	100 MB	1	149ms	19.4%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (ilHypPoli1_2)	COMPLETED	-	1	100 MB	1	1s	35.5%	0.0%	1.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (ilHypPoli1_2)	COMPLETED	-	2	12 GB	1	2s	66.6%	0.0%	24.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_UNSORTED_GENOME:CUSTOM_GETCHROMSIZES (ilHypPoli1_2)	COMPLETED	-	1	6 GB	1	7s	92.3%	0.0%	6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (ilHypPoli1_2)	COMPLETED	-	1	1 GB	1	0ms	53.6%	0.0%	3.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (ilHypPoli1_2)	COMPLETED	-	1	100 MB	1	38ms	34.1%	0.0%	2.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (ilHypPoli1_2)	COMPLETED	-	2	12 GB	1	8.5s	94.1%	0.0%	45.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:CAT_CAT (ilHypPoli1_2)	COMPLETED	-	2	12 GB	1	12s	91.1%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_B (ilHypPoli1_2)	COMPLETED	-	2	12 GB	1	82ms	33.6%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:CAT_CAT (ilHypPoli1_2)	COMPLETED	-	2	12 GB	1	15s	87.6%	0.0%	3.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (ilHypPoli1_2)	COMPLETED	-	1	6 GB	1	1s	86.4%	0.0%	3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GET_LARGEST_SCAFF (ilHypPoli1_2)	COMPLETED	-	2	12 GB	1	17ms	70.3%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_WINDOWS (ilHypPoli1_2)	COMPLETED	-	2	12 GB	1	3s	111.4%	0.1%	380.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_C (ilHypPoli1_2)	COMPLETED	-	2	12 GB	1	114ms	91.8%	0.0%	15.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:EXTRACT_TELO (ilHypPoli1_2)	COMPLETED	-	2	12 GB	1	42ms	56.0%	0.0%	2.9 MB
