---RUN_DATA---
Pipeline_version:   v1.1.0
Pipeline_runname:   nauseous_poitras
Pipeline_session:   bc4d057b-4f79-42d8-8176-90743cb8dcaa
Pipeline_duration:  12589
Pipeline_datastrt:  2024-05-15T16:05:37.918381+01:00
Pipeline_datecomp:  2024-05-15T19:35:27.028307+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      ilHypSare1_2
InputYamlFile:      /lustre/scratch125/tol/teams/meier/data/assemblies_Sanger/insects/Hypoleria_sarepta/assembly/draft/treeval/ilHypSare1_2/ilHypSare1_2.yaml
InputAssemblyData:  [[id:ilHypSare1_2, sz:676897883, ln:insects, tk:null], /lustre/scratch122/tol/data/8/7/9/b/e/d/Hypoleria_sarepta/assembly/draft/treeval/ilHypSare1_2/data/ref.fa]
Input_PacBio_Files: [[id:read, sz:3697563019], /lustre/scratch122/tol/data/8/7/9/b/e/d/Hypoleria_sarepta/assembly/draft/treeval/ilHypSare1_2/working/work/72/f8c802cddcdc34c54bdb424d24b650/in/m84047_240426_112208_s2.ccs.bc2082.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:29370891031, cn:7], /lustre/scratch122/tol/data/8/7/9/b/e/d/Hypoleria_sarepta/assembly/draft/treeval/ilHypSare1_2/working/work/8b/044b8dcf9e29d38c4faa253de7e11a/in/48314_3-4#5.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (ilHypSare1_2)	COMPLETED	-	1	100 MB	1	12ms	71.4%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (ilHypSare1_2)	COMPLETED	-	1	100 MB	1	8ms	107.1%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (ilHypSare1_2)	COMPLETED	-	1	100 MB	1	11ms	74.1%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (ilHypSare1_2)	COMPLETED	-	2	12 GB	1	1s	67.6%	0.0%	22.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (ilHypSare1_2)	COMPLETED	-	1	100 MB	1	1s	28.4%	0.0%	6.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (ilHypSare1_2)	COMPLETED	-	2	12 GB	1	4.9s	92.1%	0.0%	53.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_UNSORTED_GENOME:CUSTOM_GETCHROMSIZES (ilHypSare1_2)	COMPLETED	-	1	6 GB	1	5s	93.9%	0.0%	6.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:CAT_CAT (ilHypSare1_2)	COMPLETED	-	2	12 GB	1	18s	99.1%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (ilHypSare1_2)	COMPLETED	-	1	1 GB	1	1s	45.9%	0.0%	5.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (ilHypSare1_2)	COMPLETED	-	1	100 MB	1	35ms	41.2%	0.0%	2.9 MB
