---RUN_DATA---
Pipeline_version:   v1.1.0
Pipeline_runname:   elegant_mcclintock
Pipeline_session:   edcfc800-8557-447f-8d32-4763aa72e16f
Pipeline_duration:  11661
Pipeline_datastrt:  2024-05-11T23:02:19.882428+01:00
Pipeline_datecomp:  2024-05-12T02:16:41.822832+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      ilIthLich1_1
InputYamlFile:      /nfs/treeoflife-01/teams/tola/users/yy5/TV_yamls/ilIthLich1_1.yaml
InputAssemblyData:  [[id:ilIthLich1_1, sz:319583279, ln:5, tk:null], /lustre/scratch122/tol/data/4/a/5/9/3/f/Ithomia_lichyi/assembly/draft/treeval/ilIthLich1_1/raw/ref.fa]
Input_PacBio_Files: [[id:read, sz:3835689127], /lustre/scratch123/tol/teams/tola/users/yy5/galaxy_new/treeval/work/e0/1316c75f2e48562d713e1a48c74a1e/in/m84047_240426_122642_s4.ccs.bc2038.rmdup.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:36610356144, cn:8], /lustre/scratch123/tol/teams/tola/users/yy5/galaxy_new/treeval/work/3a/0caa2cb7834c98ed63a1847e75b013/in/47339_1#3.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (ilIthLich1_1)	COMPLETED	-	1	100 MB	1	31ms	15.8%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (ilIthLich1_1)	COMPLETED	-	1	100 MB	1	51ms	23.4%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (ilIthLich1_1)	COMPLETED	-	1	100 MB	1	1s	27.0%	0.0%	3.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (ilIthLich1_1)	COMPLETED	-	2	12 GB	1	0ms	71.9%	0.0%	4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (ilIthLich1_1)	COMPLETED	-	2	12 GB	1	2.5s	77.4%	0.0%	53.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:CUSTOM_GETCHROMSIZES (ilIthLich1_1)	COMPLETED	-	1	6 GB	1	2s	85.1%	0.0%	4.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GNU_SORT (ilIthLich1_1)	COMPLETED	-	2	12 GB	1	16ms	81.0%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_WINDOWS (ilIthLich1_1)	COMPLETED	-	2	12 GB	1	2s	122.5%	0.0%	250.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (ilIthLich1_1)	COMPLETED	-	1	100 MB	1	26ms	49.0%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:GNU_SORT (ilIthLich1_1)	COMPLETED	-	2	12 GB	1	15ms	91.4%	0.0%	2.8 MB
