---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   amazing_becquerel
Pipeline_session:   9eea4f77-24bc-4ecf-a88a-d6bd6ea96d32
Pipeline_duration:  23130
Pipeline_datastrt:  2023-10-03T14:28:42.531108034+01:00
Pipeline_datecomp:  2023-10-03T20:54:12.544907865+01:00
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      ilLitQuad1_1
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/ilLitQuad1_1.yaml
InputAssemblyData:  [[id:ilLitQuad1_1, sz:464157603, ln:insects, tk:DTOL], /lustre/scratch124/tol/projects/darwin/data/insects/Lithosia_quadra/assembly/draft/treeval/ilLitQuad1_1/data/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:7430791057], /lustre/scratch124/tol/projects/darwin/data/insects/Lithosia_quadra/assembly/draft/treeval/ilLitQuad1_1/working/work/2e/50ef2529fd433afff81c2279bb2f47/in/m64228e_230923_084810.ccs.bc2022--bc2022.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:26555950961], /lustre/scratch124/tol/projects/darwin/data/insects/Lithosia_quadra/assembly/draft/treeval/ilLitQuad1_1/working/work/c1/1d717933a55b0f349013ee0edd040d/in/47517_2#7.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (ilLitQuad1_1)	COMPLETED	-	1	6 GB	1	41ms	59.7%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (ilLitQuad1_1)	COMPLETED	-	1	6 GB	1	33ms	96.8%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:GrabFiles (ilLitQuad1_1)	COMPLETED	-	1	6 GB	1	48ms	83.7%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (ilLitQuad1_1)	COMPLETED	-	2	12 GB	1	0ms	67.9%	0.0%	6.3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (ilLitQuad1_1)	COMPLETED	-	2	12 GB	1	4.4s	94.6%	0.0%	49.4 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (ilLitQuad1_1)	COMPLETED	-	2	12 GB	1	0ms	93.5%	0.0%	4 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (ilLitQuad1_1)	COMPLETED	-	1	6 GB	1	4s	83.5%	0.0%	11 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_WINDOWS (ilLitQuad1_1)	COMPLETED	-	2	12 GB	1	1s	134.3%	0.1%	302.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (ilLitQuad1_1)	COMPLETED	-	2	12 GB	1	14ms	61.8%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:MINIMAP2_INDEX (1)	COMPLETED	-	6	36 GB	1	13s	190.0%	0.9%	3.4 GB
