---RUN_DATA---
Pipeline_version:   v1.1.1
Pipeline_runname:   soggy_visvesvaraya
Pipeline_session:   96c669b6-694e-4825-8f18-58c709a26241
Pipeline_duration:  11132
Pipeline_datastrt:  2024-07-11T09:27:18.665623+01:00
Pipeline_datecomp:  2024-07-11T12:32:50.991139+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      ilLomTeme1_1
InputYamlFile:      /lustre/scratch124/tol/projects/darwin/data/insects/Lomographa_temerata/assembly/draft/treeval/ilLomTeme1_1/ilLomTeme1_1.yaml
InputAssemblyData:  [[id:ilLomTeme1_1, sz:694730105, ln:, tk:null], /lustre/scratch122/tol/data/c/9/2/5/1/3/Lomographa_temerata/assembly/draft/treeval/ilLomTeme1_1/raw/ref.fa]
Input_PacBio_Files: [[id:read, sz:7244663756], /lustre/scratch122/tol/data/c/9/2/5/1/3/Lomographa_temerata/assembly/draft/treeval/ilLomTeme1_1/working/work/a1/b19a1af274353636f29f799cddcb3d/in/m64094e_230514_024744.ccs.bc2072--bc2072.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:34226023977, cn:8], /lustre/scratch122/tol/data/c/9/2/5/1/3/Lomographa_temerata/assembly/draft/treeval/ilLomTeme1_1/working/work/8a/dd7045523f66138bc2e2d07dc3423f/in/47490_2#5.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (ilLomTeme1_1)	COMPLETED	-	1	100 MB	1	11ms	125.0%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (ilLomTeme1_1)	COMPLETED	-	1	100 MB	1	12ms	90.9%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (ilLomTeme1_1)	COMPLETED	-	1	100 MB	1	12ms	84.1%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (ilLomTeme1_1)	COMPLETED	-	2	12 GB	1	2s	92.6%	0.0%	38.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (ilLomTeme1_1)	COMPLETED	-	2	12 GB	1	4.5s	97.0%	0.0%	73.3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (ilLomTeme1_1)	COMPLETED	-	1	100 MB	1	0ms	43.6%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_UNSORTED_GENOME:CUSTOM_GETCHROMSIZES (ilLomTeme1_1)	COMPLETED	-	1	6 GB	1	3s	92.1%	0.0%	6.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (ilLomTeme1_1)	COMPLETED	-	1	1 GB	1	1s	30.9%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (ilLomTeme1_1)	COMPLETED	-	1	100 MB	1	50ms	30.3%	0.0%	2.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_B (ilLomTeme1_1)	COMPLETED	-	2	12 GB	1	38ms	22.9%	0.0%	2.8 MB
