---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   deadly_shockley
Pipeline_session:   f7ad6141-7ff4-406f-8fa2-77052debcafd
Pipeline_duration:  20275
Pipeline_datastrt:  2023-10-30T10:10:17.591542588Z
Pipeline_datecomp:  2023-10-30T15:48:12.998174635Z
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      ilLupNick1_1
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/ilLupNick1_1.yaml
InputAssemblyData:  [[id:ilLupNick1_1, sz:672992785, ln:insects, tk:DTOL], /lustre/scratch124/tol/projects/darwin/data/insects/Luperina_nickerlii/assembly/draft/treeval/ilLupNick1_1/data/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:10789708525], /lustre/scratch124/tol/projects/darwin/data/insects/Luperina_nickerlii/assembly/draft/treeval/ilLupNick1_1/working/work/0d/a1d47ed4d1a66ab5ca7f363339f0fc/in/m84093_231011_151832_s1.ccs.bc2078.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:24400681383], /lustre/scratch124/tol/projects/darwin/data/insects/Luperina_nickerlii/assembly/draft/treeval/ilLupNick1_1/working/work/79/59b7441c169d721ee96761349dd45c/in/47768_3#1.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (ilLupNick1_1)	COMPLETED	-	1	6 GB	1	35ms	94.9%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:GrabFiles (ilLupNick1_1)	COMPLETED	-	1	6 GB	1	35ms	90.4%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (ilLupNick1_1)	COMPLETED	-	1	6 GB	1	42ms	85.7%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (ilLupNick1_1)	COMPLETED	-	2	12 GB	1	5.8s	98.4%	0.0%	62.4 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (ilLupNick1_1)	COMPLETED	-	1	6 GB	1	2s	93.4%	0.0%	4.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (ilLupNick1_1)	COMPLETED	-	2	12 GB	1	0ms	56.3%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GNU_SORT (ilLupNick1_1)	COMPLETED	-	2	12 GB	1	15ms	91.4%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (ilLupNick1_1)	COMPLETED	-	2	12 GB	1	62ms	24.4%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (ilLupNick1_1)	COMPLETED	-	2	12 GB	1	1s	96.4%	0.0%	4.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_B (ilLupNick1_1)	COMPLETED	-	2	12 GB	1	15ms	82.6%	0.0%	2.8 MB
