---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   desperate_ramanujan
Pipeline_session:   15636575-f852-49ff-bb57-dcedb18b198e
Pipeline_duration:  62275
Pipeline_datastrt:  2023-11-13T14:45:02.391874Z
Pipeline_datecomp:  2023-11-14T08:02:57.702870Z
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      ilMelMeno2_2
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/ilMelMeno2_2.yaml
InputAssemblyData:  [[id:ilMelMeno2_2, sz:1162650704, ln:insects, tk:TOL], /lustre/scratch125/tol/teams/meier/data/assemblies_Sanger/insects/Melinaea_menophilus/assembly/draft/treeval/ilMelMeno2_2/data/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:5403399512], /lustre/scratch125/tol/teams/meier/data/assemblies_Sanger/insects/Melinaea_menophilus/assembly/draft/treeval/ilMelMeno2_2/working/work/f4/d7385c9a9b168f6c63ad36a50da0c6/in/m64178e_230720_225556.ccs.bc2030--bc2030.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:35563809368], /lustre/scratch125/tol/teams/meier/data/assemblies_Sanger/insects/Melinaea_menophilus/assembly/draft/treeval/ilMelMeno2_2/working/work/f5/b4c866e6c6178cfa044356da36edd7/in/47339_1#6.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (ilMelMeno2_2)	COMPLETED	-	1	6 GB	1	43ms	64.2%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (ilMelMeno2_2)	COMPLETED	-	1	6 GB	1	52ms	86.5%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:GrabFiles (ilMelMeno2_2)	COMPLETED	-	1	6 GB	1	36ms	83.8%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (ilMelMeno2_2)	COMPLETED	-	2	12 GB	1	2s	88.8%	0.0%	64.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (ilMelMeno2_2)	COMPLETED	-	2	12 GB	1	0ms	74.1%	0.0%	6.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (ilMelMeno2_2)	COMPLETED	-	1	6 GB	1	4s	96.3%	0.0%	4.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (ilMelMeno2_2)	COMPLETED	-	2	12 GB	1	24ms	54.5%	0.0%	3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (ilMelMeno2_2)	COMPLETED	-	2	12 GB	1	13.4s	95.9%	0.0%	149.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GNU_SORT (ilMelMeno2_2)	COMPLETED	-	2	12 GB	1	24ms	33.2%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (ilMelMeno2_2)	COMPLETED	-	2	12 GB	1	16ms	71.1%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_B (ilMelMeno2_2)	COMPLETED	-	2	12 GB	1	23ms	67.0%	0.0%	2.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (ilMelMeno2_2)	COMPLETED	-	1	6 GB	1	0ms	91.4%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:TABIX_BGZIPTABIX (ilMelMeno2_2)	COMPLETED	-	1	6 GB	1	0ms	60.5%	0.0%	3.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_C (ilMelMeno2_2)	COMPLETED	-	2	12 GB	1	150ms	89.4%	0.0%	5.6 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:MINIMAP2_INDEX (1)	COMPLETED	-	6	36 GB	1	28s	207.8%	1.7%	6.2 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_WINDOWS (ilMelMeno2_2)	COMPLETED	-	2	12 GB	1	8s	73.5%	0.1%	378.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:EXTRACT_TELO (ilMelMeno2_2)	COMPLETED	-	2	12 GB	1	34ms	88.6%	0.0%	2.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:TABIX_BGZIPTABIX (ilMelMeno2_2)	COMPLETED	-	1	6 GB	1	0ms	33.9%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:CAT_CAT (ilMelMeno2_2)	COMPLETED	-	2	12 GB	1	2m 4s	90.3%	0.0%	3.6 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (ilMelMeno2_2)	COMPLETED	-	2	12 GB	1	5m 32s	99.8%	0.2%	1.2 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:BWAMEM2_INDEX (ref.fa)	COMPLETED	-	1	50 GB	1	9m 56s	99.0%	6.8%	25.6 GB
