---RUN_DATA---
Pipeline_version:   v1.0.2
Pipeline_runname:   gloomy_lagrange
Pipeline_session:   554993ac-6cbe-4f49-8d08-4dcaeff490c5
Pipeline_duration:  44115
Pipeline_datastrt:  2024-03-07T15:44:54.209979Z
Pipeline_datecomp:  2024-03-08T04:00:09.806402Z
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      ilMelMeno2_3
InputYamlFile:      /lustre/scratch125/tol/teams/meier/data/assemblies_Sanger/insects/Melinaea_menophilus/assembly/draft/treeval/ilMelMeno2_3/ilMelMeno2_3.yaml
InputAssemblyData:  [[id:ilMelMeno2_3, sz:690451990, ln:insects, tk:null], /lustre/scratch125/tol/teams/meier/data/assemblies_Sanger/insects/Melinaea_menophilus/assembly/draft/treeval/ilMelMeno2_3/data/ref.fa]
Input_PacBio_Files: [[id:read, sz:5403399512], /lustre/scratch125/tol/teams/meier/data/assemblies_Sanger/insects/Melinaea_menophilus/assembly/draft/treeval/ilMelMeno2_3/working/work/89/bcdf44846eec58c052600dac525b94/in/m64178e_230720_225556.ccs.bc2030--bc2030.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:35563809368, cn:8], /lustre/scratch125/tol/teams/meier/data/assemblies_Sanger/insects/Melinaea_menophilus/assembly/draft/treeval/ilMelMeno2_3/working/work/36/5730a0df5ee9171b3a36a5a9a2fd40/in/47339_1#6.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (ilMelMeno2_3)	COMPLETED	-	1	100 MB	1	144ms	24.1%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:GrabFiles (ilMelMeno2_3)	COMPLETED	-	1	100 MB	1	205ms	11.3%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (ilMelMeno2_3)	COMPLETED	-	1	100 MB	1	92ms	30.2%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (ilMelMeno2_3)	COMPLETED	-	1	100 MB	1	103ms	22.2%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (ilMelMeno2_3)	COMPLETED	-	1	100 MB	1	1s	36.2%	0.0%	6.3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (ilMelMeno2_3)	COMPLETED	-	2	12 GB	1	1s	91.4%	0.0%	4.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:CUSTOM_GETCHROMSIZES (ilMelMeno2_3)	COMPLETED	-	1	6 GB	1	3s	96.1%	0.0%	6.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (ilMelMeno2_3)	COMPLETED	-	2	12 GB	1	5.1s	94.0%	0.0%	137.3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (ilMelMeno2_3)	COMPLETED	-	1	1 GB	1	0ms	42.5%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (ilMelMeno2_3)	COMPLETED	-	1	100 MB	1	40ms	34.9%	0.0%	2.9 MB
