---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   trusting_baekeland
Pipeline_session:   f01b9dc7-9d1b-45b4-b144-8c28fa9140ca
Pipeline_duration:  32598
Pipeline_datastrt:  2023-10-23T14:31:13.578062756+01:00
Pipeline_datecomp:  2023-10-23T23:34:32.484762199+01:00
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      ilNocJanh1_1
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/ilNocJanh1_1.yaml
InputAssemblyData:  [[id:ilNocJanh1_1, sz:570582878, ln:insects, tk:DTOL], /lustre/scratch124/tol/projects/darwin/data/insects/Noctua_janthina/assembly/draft/treeval/ilNocJanh1_1/data/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:11397457989], /lustre/scratch124/tol/projects/darwin/data/insects/Noctua_janthina/assembly/draft/treeval/ilNocJanh1_1/working/work/1d/2936c33e17f16b04f5112080da65c5/in/m84047_231007_114131_s2.ccs.bc2077.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:43691011786], /lustre/scratch124/tol/projects/darwin/data/insects/Noctua_janthina/assembly/draft/treeval/ilNocJanh1_1/working/work/2b/776c867e5f499dfe72e78d54088c1c/in/47768_2#8.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (ilNocJanh1_1)	COMPLETED	-	1	6 GB	1	44ms	87.4%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (ilNocJanh1_1)	COMPLETED	-	1	6 GB	1	46ms	86.7%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:GrabFiles (ilNocJanh1_1)	COMPLETED	-	1	6 GB	1	44ms	97.6%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (ilNocJanh1_1)	COMPLETED	-	2	12 GB	1	0ms	59.4%	0.0%	6.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (ilNocJanh1_1)	COMPLETED	-	2	12 GB	1	1s	91.5%	0.0%	4.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (ilNocJanh1_1)	COMPLETED	-	1	6 GB	1	2s	94.6%	0.0%	4.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (ilNocJanh1_1)	COMPLETED	-	2	12 GB	1	5.3s	95.2%	0.0%	52.5 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (ilNocJanh1_1)	COMPLETED	-	2	12 GB	1	13ms	61.0%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GNU_SORT (ilNocJanh1_1)	COMPLETED	-	2	12 GB	1	15ms	43.2%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (ilNocJanh1_1)	COMPLETED	-	2	12 GB	1	14ms	60.1%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (ilNocJanh1_1)	COMPLETED	-	1	6 GB	1	0ms	80.9%	0.0%	3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_B (ilNocJanh1_1)	COMPLETED	-	2	12 GB	1	14ms	91.4%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:TABIX_BGZIPTABIX (ilNocJanh1_1)	COMPLETED	-	1	6 GB	1	0ms	55.0%	0.0%	3.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:MINIMAP2_INDEX (1)	COMPLETED	-	6	36 GB	1	16s	194.5%	0.5%	4 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_WINDOWS (ilNocJanh1_1)	COMPLETED	-	2	12 GB	1	5s	111.5%	0.1%	304.4 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_C (ilNocJanh1_1)	COMPLETED	-	2	12 GB	1	91ms	49.2%	0.0%	8.4 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:EXTRACT_TELO (ilNocJanh1_1)	COMPLETED	-	2	12 GB	1	28ms	64.0%	0.0%	3 MB
