---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   shrivelled_cuvier
Pipeline_session:   aeaf7b67-d742-4b85-8c84-3c9cde38e8b6
Pipeline_duration:  146363
Pipeline_datastrt:  2023-11-14T09:43:18.918102Z
Pipeline_datecomp:  2023-11-16T02:22:42.846730Z
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      ilOleEste1_2
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/ilOleEste1_2.yaml
InputAssemblyData:  [[id:ilOleEste1_2, sz:692258334, ln:insects, tk:TOL], /lustre/scratch125/tol/teams/meier/data/assemblies_Sanger/insects/Oleria_estella/assembly/draft/treeval/ilOleEste1_2/data/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:2353992723], /lustre/scratch125/tol/teams/meier/data/assemblies_Sanger/insects/Oleria_estella/assembly/draft/treeval/ilOleEste1_2/working/work/e5/73e1f8c7472de88b437fd7b4184777/in/m64222e_230703_063403.ccs.bc2038--bc2038.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:50221742452], /lustre/scratch125/tol/teams/meier/data/assemblies_Sanger/insects/Oleria_estella/assembly/draft/treeval/ilOleEste1_2/working/work/d6/d63683bbb7963b073e20e189122051/in/47339_1#7.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (ilOleEste1_2)	COMPLETED	-	1	6 GB	1	35ms	98.7%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:GrabFiles (ilOleEste1_2)	COMPLETED	-	1	6 GB	1	33ms	102.0%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (ilOleEste1_2)	COMPLETED	-	1	6 GB	1	33ms	106.4%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (ilOleEste1_2)	COMPLETED	-	2	12 GB	1	0ms	67.7%	0.0%	3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (ilOleEste1_2)	COMPLETED	-	1	6 GB	1	2s	93.7%	0.0%	5.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (ilOleEste1_2)	COMPLETED	-	2	12 GB	1	1s	100.2%	0.0%	36.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (ilOleEste1_2)	COMPLETED	-	2	12 GB	1	6.1s	96.0%	0.0%	68.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (ilOleEste1_2)	COMPLETED	-	2	12 GB	1	15ms	40.0%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (ilOleEste1_2)	COMPLETED	-	2	12 GB	1	14ms	73.6%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:CAT_CAT (ilOleEste1_2)	COMPLETED	-	2	12 GB	1	7s	91.1%	0.0%	3.5 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GNU_SORT (ilOleEste1_2)	COMPLETED	-	2	12 GB	1	27ms	29.9%	0.0%	4.5 MB
