---RUN_DATA---
Pipeline_version:   v1.0.2
Pipeline_runname:   elated_jennings
Pipeline_session:   7ab299c7-2819-43f2-b1c1-23799c96604c
Pipeline_duration:  20738
Pipeline_datastrt:  2024-03-25T13:43:46.658938Z
Pipeline_datecomp:  2024-03-25T19:29:24.866776Z
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      ilOrtCrud1_3
InputYamlFile:      /lustre/scratch124/tol/projects/darwin/data/insects/Orthosia_cruda/assembly/draft/treeval/ilOrtCrud1_3/ilOrtCrud1_3.yaml
InputAssemblyData:  [[id:ilOrtCrud1_3, sz:2537335623, ln:insects, tk:null], /lustre/scratch124/tol/projects/darwin/data/insects/Orthosia_cruda/assembly/draft/treeval/ilOrtCrud1_3/data/ref.fa]
Input_PacBio_Files: [[id:read, sz:9838906498], /lustre/scratch124/tol/projects/darwin/data/insects/Orthosia_cruda/assembly/draft/treeval/ilOrtCrud1_3/working/work/a4/f8f9028c5ee39988b657a1af249218/in/m84098_231026_131206_s2.ccs.bc1019_BAK8B_OA--bc1019_BAK8B_OA.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:35420018427, cn:8], /lustre/scratch124/tol/projects/darwin/data/insects/Orthosia_cruda/assembly/draft/treeval/ilOrtCrud1_3/working/work/32/68a011bdd5b681f42ce037de7c13c9/in/46130_4#3.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_BWAMEM2:BWAMEM2_INDEX (ref.fa)	CACHED	-	1	72 GB	1	42m 10s	99.8%	3.7%	55.8 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (ilOrtCrud1_3)	CACHED	-	2	12 GB	1	17.1s	97.0%	0.0%	179.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (ilOrtCrud1_3)	CACHED	-	2	12 GB	1	4s	62.4%	0.0%	77.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (ilOrtCrud1_3)	CACHED	-	1	100 MB	1	1s	29.6%	0.0%	6.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (ilOrtCrud1_3)	CACHED	-	6	4.5 GB	1	13m 9s	100.1%	1.1%	4.2 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_UNSORTED_GENOME:CUSTOM_GETCHROMSIZES (ilOrtCrud1_3)	CACHED	-	1	6 GB	1	9s	97.1%	0.0%	6.3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_USTAT (ilOrtCrud1_3)	CACHED	-	1	2 GB	1	23m 47s	99.2%	0.1%	408.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (ilOrtCrud1_3)	CACHED	-	1	100 MB	1	146ms	15.4%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:GrabFiles (ilOrtCrud1_3)	CACHED	-	1	100 MB	1	117ms	17.4%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (ilOrtCrud1_3)	CACHED	-	1	100 MB	1	171ms	19.1%	0.0%	0
