---RUN_DATA---
Pipeline_version:   v1.0.2
Pipeline_runname:   stupefied_jones
Pipeline_session:   d258017d-d9b0-49ab-9484-9472ed4e67e3
Pipeline_duration:  12408
Pipeline_datastrt:  2024-03-05T21:49:59.387659Z
Pipeline_datecomp:  2024-03-06T01:16:48.155643Z
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      ilPerAlbl1_2
InputYamlFile:      /lustre/scratch124/tol/projects/darwin/data/insects/Perizoma_albulatum/assembly/draft/treeval/ilPerAlbl1_2/ilPerAlbl1_2.yaml
InputAssemblyData:  [[id:ilPerAlbl1_2, sz:442072041, ln:insects, tk:null], /lustre/scratch124/tol/projects/darwin/data/insects/Perizoma_albulatum/assembly/draft/treeval/ilPerAlbl1_2/data/ref.fa]
Input_PacBio_Files: [[id:read, sz:7197048505], /lustre/scratch124/tol/projects/darwin/data/insects/Perizoma_albulatum/assembly/draft/treeval/ilPerAlbl1_2/working/work/8a/7cb048eb2d7879192f50b50b0fc9d2/in/m64230e_231027_194035.ccs.bc1012_BAK8A_OA--bc1012_BAK8A_OA.rmdup.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:47425684612, cn:10], /lustre/scratch124/tol/projects/darwin/data/insects/Perizoma_albulatum/assembly/draft/treeval/ilPerAlbl1_2/working/work/19/a87ad62ec36a2cc1a02f48785dac86/in/47478_1#1.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:GrabFiles (ilPerAlbl1_2)	COMPLETED	-	1	100 MB	1	158ms	18.2%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (ilPerAlbl1_2)	COMPLETED	-	1	100 MB	1	205ms	14.5%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (ilPerAlbl1_2)	COMPLETED	-	1	100 MB	1	153ms	23.0%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (ilPerAlbl1_2)	COMPLETED	-	1	100 MB	1	130ms	23.1%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (ilPerAlbl1_2)	COMPLETED	-	2	12 GB	1	2.9s	96.5%	0.0%	53.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (ilPerAlbl1_2)	COMPLETED	-	2	12 GB	1	1s	99.7%	0.0%	15.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (ilPerAlbl1_2)	COMPLETED	-	1	100 MB	1	1s	29.8%	0.0%	6.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:CUSTOM_GETCHROMSIZES (ilPerAlbl1_2)	COMPLETED	-	1	6 GB	1	1s	95.1%	0.0%	4.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (ilPerAlbl1_2)	COMPLETED	-	1	1 GB	1	0ms	35.9%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (ilPerAlbl1_2)	COMPLETED	-	1	100 MB	1	32ms	60.8%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:GNU_SORT (ilPerAlbl1_2)	COMPLETED	-	2	12 GB	1	12ms	53.8%	0.0%	2.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_WINDOWS (ilPerAlbl1_2)	COMPLETED	-	2	12 GB	1	4s	110.2%	0.0%	302.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (ilPerAlbl1_2)	COMPLETED	-	1	6 GB	1	0ms	74.9%	0.0%	5.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_B (ilPerAlbl1_2)	COMPLETED	-	2	12 GB	1	18ms	71.9%	0.0%	2.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GET_LARGEST_SCAFF (ilPerAlbl1_2)	COMPLETED	-	2	12 GB	1	14ms	71.5%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:EXTRACT_TELO (ilPerAlbl1_2)	COMPLETED	-	2	12 GB	1	47ms	62.3%	0.0%	2.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_C (ilPerAlbl1_2)	COMPLETED	-	2	12 GB	1	58ms	76.4%	0.0%	8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:CAT_CAT (ilPerAlbl1_2)	COMPLETED	-	2	12 GB	1	21s	94.3%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:CAT_CAT (ilPerAlbl1_2)	COMPLETED	-	2	12 GB	1	21s	98.7%	0.0%	3.3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:TABIX_BGZIPTABIX (ilPerAlbl1_2)	COMPLETED	-	1	1 GB	1	0ms	41.3%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (ilPerAlbl1_2)	COMPLETED	-	6	1.5 GB	1	2m 29s	99.3%	0.3%	1.1 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_BWAMEM2:BWAMEM2_INDEX (ref.fa)	COMPLETED	-	1	13 GB	1	4m 13s	98.5%	2.6%	9.7 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_USTAT (ilPerAlbl1_2)	COMPLETED	-	1	1 GB	1	4m 15s	98.3%	0.0%	163.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:EXTRACT_REPEAT (ilPerAlbl1_2)	COMPLETED	-	2	12 GB	1	7s	100.2%	0.0%	6.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_INTERSECT (ilPerAlbl1_2)	COMPLETED	-	1	6 GB	1	2s	91.9%	0.2%	833.3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:RENAME_IDS (ilPerAlbl1_2)	COMPLETED	-	2	12 GB	1	527ms	96.9%	0.0%	4.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_A (ilPerAlbl1_2)	COMPLETED	-	2	12 GB	1	2.3s	178.2%	0.0%	174.2 MB
