---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   friendly_lichterman
Pipeline_session:   503d4e9e-3d02-4b8f-aab4-4ac1e89a1c83
Pipeline_duration:  288849
Pipeline_datastrt:  2023-11-14T14:04:34.965742Z
Pipeline_datecomp:  2023-11-17T22:18:44.045007Z
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      ilPhyQuer1_2
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/ilPhyQuer1_2.yaml
InputAssemblyData:  [[id:ilPhyQuer1_2, sz:816049324, ln:insects, tk:DTOL], /lustre/scratch124/tol/projects/darwin/data/insects/Phyllonorycter_quercifoliella/assembly/draft/treeval/ilPhyQuer1_2/data/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:4155938324], /lustre/scratch124/tol/projects/darwin/data/insects/Phyllonorycter_quercifoliella/assembly/draft/treeval/ilPhyQuer1_2/working/work/7e/27a924df286df61085b94057004a5c/in/m64178e_221128_235506.ccs.bc1012_BAK8A_OA--bc1012_BAK8A_OA.rmdup.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:42421802341], /lustre/scratch124/tol/projects/darwin/data/insects/Phyllonorycter_quercifoliella/assembly/draft/treeval/ilPhyQuer1_2/working/work/ad/d8b7d15de12a7fea8e5a1bc243ed17/in/44867_4#3.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:GrabFiles (ilPhyQuer1_2)	COMPLETED	-	1	6 GB	1	49ms	71.1%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (ilPhyQuer1_2)	COMPLETED	-	1	6 GB	1	41ms	78.1%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (ilPhyQuer1_2)	COMPLETED	-	1	6 GB	1	41ms	73.9%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (ilPhyQuer1_2)	COMPLETED	-	2	12 GB	1	1s	95.4%	0.0%	4.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (ilPhyQuer1_2)	COMPLETED	-	1	6 GB	1	3s	95.6%	0.0%	6.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (ilPhyQuer1_2)	COMPLETED	-	2	12 GB	1	8s	93.8%	0.0%	54.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (ilPhyQuer1_2)	COMPLETED	-	2	12 GB	1	0ms	62.6%	0.0%	6.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (ilPhyQuer1_2)	COMPLETED	-	2	12 GB	1	19ms	66.7%	0.0%	2.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (ilPhyQuer1_2)	COMPLETED	-	2	12 GB	1	15ms	106.1%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GNU_SORT (ilPhyQuer1_2)	COMPLETED	-	2	12 GB	1	24ms	62.1%	0.0%	2.7 MB
