---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   gloomy_curie
Pipeline_session:   0381fb14-8b22-4ec1-9b73-fadc4b0972dc
Pipeline_duration:  32315
Pipeline_datastrt:  2023-11-10T16:48:42.510015Z
Pipeline_datecomp:  2023-11-11T01:47:18.106448Z
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      ilPolAman1_1
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/ilPolAman1_1.yaml
InputAssemblyData:  [[id:ilPolAman1_1, sz:725113326, ln:insects, tk:TOL], /lustre/scratch124/tol/projects/tol/data/insects/Polyommatus_amandus/assembly/draft/treeval/ilPolAman1_1/data/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:7691182142], /lustre/scratch124/tol/projects/tol/data/insects/Polyommatus_amandus/assembly/draft/treeval/ilPolAman1_1/working/work/6a/e38f7b12af3a004467f49205fbe0ef/in/m64221e_230927_205726.ccs.bc2041--bc2041.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:39100460226], /lustre/scratch124/tol/projects/tol/data/insects/Polyommatus_amandus/assembly/draft/treeval/ilPolAman1_1/working/work/78/2da38b5f52f5d5f2b0240cf6fe23f5/in/47542_2#6.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (ilPolAman1_1)	COMPLETED	-	1	6 GB	1	51ms	86.7%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:GrabFiles (ilPolAman1_1)	COMPLETED	-	1	6 GB	1	44ms	95.2%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (ilPolAman1_1)	COMPLETED	-	1	6 GB	1	41ms	96.0%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (ilPolAman1_1)	COMPLETED	-	2	12 GB	1	1s	97.1%	0.0%	4.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (ilPolAman1_1)	COMPLETED	-	2	12 GB	1	0ms	62.7%	0.0%	6.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (ilPolAman1_1)	COMPLETED	-	2	12 GB	1	15ms	113.6%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (ilPolAman1_1)	COMPLETED	-	2	12 GB	1	7.1s	95.4%	0.0%	85.5 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (ilPolAman1_1)	COMPLETED	-	1	6 GB	1	4s	96.1%	0.0%	6 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GNU_SORT (ilPolAman1_1)	COMPLETED	-	2	12 GB	1	20ms	37.9%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (ilPolAman1_1)	COMPLETED	-	2	12 GB	1	14ms	115.0%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:MINIMAP2_INDEX (1)	COMPLETED	-	6	36 GB	1	19s	202.4%	0.6%	4.5 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_WINDOWS (ilPolAman1_1)	COMPLETED	-	2	12 GB	1	7s	109.5%	0.1%	376.3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_B (ilPolAman1_1)	COMPLETED	-	2	12 GB	1	15ms	91.4%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (ilPolAman1_1)	COMPLETED	-	1	6 GB	1	0ms	86.7%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:TABIX_BGZIPTABIX (ilPolAman1_1)	COMPLETED	-	1	6 GB	1	0ms	36.6%	0.0%	3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:CAT_CAT (ilPolAman1_1)	COMPLETED	-	2	12 GB	1	22s	97.5%	0.0%	3.6 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:EXTRACT_TELO (ilPolAman1_1)	COMPLETED	-	2	12 GB	1	27ms	104.5%	0.0%	3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_C (ilPolAman1_1)	COMPLETED	-	2	12 GB	1	78ms	83.6%	0.0%	8.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:TABIX_BGZIPTABIX (ilPolAman1_1)	COMPLETED	-	1	6 GB	1	0ms	36.2%	0.0%	3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (ilPolAman1_1)	COMPLETED	-	2	12 GB	1	3m 8s	99.4%	0.3%	1.2 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:BWAMEM2_INDEX (ref.fa)	COMPLETED	-	1	50 GB	1	6m 3s	98.8%	2.1%	15.9 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:WINDOWMASKER_USTAT (ilPolAman1_1)	COMPLETED	-	2	12 GB	1	4m 24s	99.6%	0.0%	192.6 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:EXTRACT_REPEAT (ilPolAman1_1)	COMPLETED	-	2	12 GB	1	10s	98.5%	0.0%	6.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_INTERSECT (ilPolAman1_1)	COMPLETED	-	1	6 GB	1	3s	94.1%	0.2%	918.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:RENAME_IDS (ilPolAman1_1)	COMPLETED	-	2	12 GB	1	676ms	97.1%	0.0%	4.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_A (ilPolAman1_1)	COMPLETED	-	2	12 GB	1	1.8s	176.1%	0.1%	245.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:REFORMAT_INTERSECT (ilPolAman1_1)	COMPLETED	-	2	12 GB	1	2.4s	137.0%	0.0%	9.7 MB
