---RUN_DATA---
Pipeline_version:   v1.0.2
Pipeline_runname:   lonely_albattani
Pipeline_session:   c8af1d50-5b46-403e-9f25-f354efd3f7af
Pipeline_duration:  17206
Pipeline_datastrt:  2024-03-06T02:13:14.814328Z
Pipeline_datecomp:  2024-03-06T07:00:01.159964Z
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      ilPolEriw1_1
InputYamlFile:      /lustre/scratch124/tol/projects/tol/data/insects/Polyommatus_eriwanensis/assembly/draft/treeval/ilPolEriw1_1/ilPolEriw1_1.yaml
InputAssemblyData:  [[id:ilPolEriw1_1, sz:661664690, ln:insects, tk:null], /lustre/scratch124/tol/projects/tol/data/insects/Polyommatus_eriwanensis/assembly/draft/treeval/ilPolEriw1_1/data/ref.fa]
Input_PacBio_Files: [[id:read, sz:5683620350], /lustre/scratch124/tol/projects/tol/data/insects/Polyommatus_eriwanensis/assembly/draft/treeval/ilPolEriw1_1/working/work/4d/91c265b25eaf29d640d669b8337c55/in/m64125e_230806_030926.ccs.bc2047--bc2047.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:38229750851, cn:8], /lustre/scratch124/tol/projects/tol/data/insects/Polyommatus_eriwanensis/assembly/draft/treeval/ilPolEriw1_1/working/work/43/632f74522d13b2add40723aaec2112/in/47530_1#5.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (ilPolEriw1_1)	COMPLETED	-	1	100 MB	1	35ms	97.4%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (ilPolEriw1_1)	COMPLETED	-	1	100 MB	1	36ms	113.2%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (ilPolEriw1_1)	COMPLETED	-	1	100 MB	1	35ms	96.8%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:GrabFiles (ilPolEriw1_1)	COMPLETED	-	1	100 MB	1	37ms	116.9%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (ilPolEriw1_1)	COMPLETED	-	2	12 GB	1	1s	97.2%	0.0%	4.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (ilPolEriw1_1)	COMPLETED	-	2	12 GB	1	4.1s	92.2%	0.0%	84.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:CUSTOM_GETCHROMSIZES (ilPolEriw1_1)	COMPLETED	-	1	6 GB	1	3s	96.5%	0.0%	4.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (ilPolEriw1_1)	COMPLETED	-	1	100 MB	1	1s	23.5%	0.0%	6.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (ilPolEriw1_1)	COMPLETED	-	1	1 GB	1	1s	31.1%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (ilPolEriw1_1)	COMPLETED	-	1	100 MB	1	22ms	56.9%	0.0%	0
