---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   marvelous_mandelbrot
Pipeline_session:   5448db4a-82db-4089-8daa-393c26d390d0
Pipeline_duration:  23755
Pipeline_datastrt:  2023-11-05T22:22:47.156966772Z
Pipeline_datecomp:  2023-11-06T04:58:42.630237693Z
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      ilPolIcar15_1
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/ilPolIcar15_1.yaml
InputAssemblyData:  [[id:ilPolIcar15_1, sz:1010442444, ln:insects, tk:TOL], /lustre/scratch124/tol/projects/tol/data/insects/Polyommatus_icarus/assembly/draft/treeval/ilPolIcar15_1/data/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:7101398706], /lustre/scratch124/tol/projects/tol/data/insects/Polyommatus_icarus/assembly/draft/treeval/ilPolIcar15_1/working/work/7c/4bc0a44f39510eee16f2ddb93b1af3/in/m64125e_230718_131543.ccs.bc2030--bc2030.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:40494423483], /lustre/scratch124/tol/projects/tol/data/insects/Polyommatus_icarus/assembly/draft/treeval/ilPolIcar15_1/working/work/01/07f87c841e295453bc33bd165a18d2/in/47530_2#1.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:GrabFiles (ilPolIcar15_1)	COMPLETED	-	1	6 GB	1	35ms	80.6%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (ilPolIcar15_1)	COMPLETED	-	1	6 GB	1	42ms	61.0%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (ilPolIcar15_1)	COMPLETED	-	1	6 GB	1	44ms	75.0%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (ilPolIcar15_1)	COMPLETED	-	2	12 GB	1	0ms	60.4%	0.0%	6.3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (ilPolIcar15_1)	COMPLETED	-	1	6 GB	1	4s	96.7%	0.0%	6.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (ilPolIcar15_1)	COMPLETED	-	2	12 GB	1	1s	99.6%	0.0%	36.3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:MINIMAP2_INDEX (1)	COMPLETED	-	6	36 GB	1	25s	210.1%	1.7%	6.4 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (ilPolIcar15_1)	COMPLETED	-	2	12 GB	1	11.5s	96.9%	0.0%	68.3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GNU_SORT (ilPolIcar15_1)	COMPLETED	-	2	12 GB	1	68ms	13.5%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (ilPolIcar15_1)	COMPLETED	-	2	12 GB	1	14ms	57.7%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (ilPolIcar15_1)	COMPLETED	-	2	12 GB	1	16ms	57.4%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_B (ilPolIcar15_1)	COMPLETED	-	2	12 GB	1	16ms	125.5%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (ilPolIcar15_1)	COMPLETED	-	1	6 GB	1	0ms	86.7%	0.0%	3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:CAT_CAT (ilPolIcar15_1)	COMPLETED	-	2	12 GB	1	20s	97.4%	0.0%	3.6 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_WINDOWS (ilPolIcar15_1)	COMPLETED	-	2	12 GB	1	3s	126.0%	0.1%	380 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:TABIX_BGZIPTABIX (ilPolIcar15_1)	COMPLETED	-	1	6 GB	1	0ms	52.5%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_C (ilPolIcar15_1)	COMPLETED	-	2	12 GB	1	105ms	89.0%	0.0%	4.4 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:EXTRACT_TELO (ilPolIcar15_1)	COMPLETED	-	2	12 GB	1	35ms	55.5%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:TABIX_BGZIPTABIX (ilPolIcar15_1)	COMPLETED	-	1	6 GB	1	0ms	64.1%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (ilPolIcar15_1)	COMPLETED	-	2	12 GB	1	4m 17s	99.8%	0.3%	1.1 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:FASTK_FASTK (ilPolIcar15_1)	COMPLETED	-	25	100 GB	1	4m 35s	733.3%	6.0%	22.6 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:MERQURYFK_MERQURYFK (ilPolIcar15_1)	COMPLETED	-	6	36 GB	1	3m 46s	395.3%	3.5%	13.4 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:BWAMEM2_INDEX (ref.fa)	COMPLETED	-	1	50 GB	1	10m 8s	98.9%	5.9%	22.2 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:WINDOWMASKER_USTAT (ilPolIcar15_1)	COMPLETED	-	2	12 GB	1	8m 17s	100.0%	0.0%	197.4 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:EXTRACT_REPEAT (ilPolIcar15_1)	COMPLETED	-	2	12 GB	1	5s	99.2%	0.0%	6.7 MB
