---RUN_DATA---
Pipeline_version:   v1.1.0
Pipeline_runname:   romantic_spence
Pipeline_session:   5cce8fd6-4f21-40b8-b8c9-8baa0fd86711
Pipeline_duration:  2256
Pipeline_datastrt:  2024-04-22T10:41:51.473860+01:00
Pipeline_datecomp:  2024-04-22T11:19:28.001554+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      ilPseComb1_2
InputYamlFile:      /lustre/scratch124/tol/projects/darwin/data/insects/Pseudoswammerdamia_combinella/assembly/draft/treeval/ilPseComb1_2/ilPseComb1_2.yaml
InputAssemblyData:  [[id:ilPseComb1_2, sz:1222141439, ln:insects, tk:null], /lustre/scratch124/tol/projects/darwin/data/insects/Pseudoswammerdamia_combinella/assembly/draft/treeval/ilPseComb1_2/data/ref.fa]
Input_PacBio_Files: [[id:read, sz:7155577269], /lustre/scratch124/tol/projects/darwin/data/insects/Pseudoswammerdamia_combinella/assembly/draft/treeval/ilPseComb1_2/working/work/de/40dedc594e7f3584d3981363ca1441/in/m64229e_230917_043955.ccs.bc2014--bc2014.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:35736344095, cn:9], /lustre/scratch124/tol/projects/darwin/data/insects/Pseudoswammerdamia_combinella/assembly/draft/treeval/ilPseComb1_2/working/work/8f/d62432d952d75427fdd95734937cd5/in/48791_7-8#4.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_BWAMEM2:BWAMEM2_INDEX (ref.fa)	CACHED	-	1	35 GB	1	11m 22s	99.0%	6.5%	24.4 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (ilPseComb1_2)	CACHED	-	2	12 GB	1	3s	96.9%	0.0%	28.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (ilPseComb1_2)	CACHED	-	1	100 MB	1	32ms	79.5%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (ilPseComb1_2)	CACHED	-	1	100 MB	1	32ms	78.4%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (ilPseComb1_2)	CACHED	-	1	100 MB	1	35ms	97.4%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (ilPseComb1_2)	CACHED	-	6	3 GB	1	5m 38s	100.1%	0.3%	1.2 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:GrabFiles (ilPseComb1_2)	CACHED	-	1	100 MB	1	36ms	100.7%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (ilPseComb1_2)	CACHED	-	1	100 MB	1	1s	23.0%	0.0%	6.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (ilPseComb1_2)	CACHED	-	2	12 GB	1	7.7s	96.6%	0.0%	52.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_UNSORTED_GENOME:CUSTOM_GETCHROMSIZES (ilPseComb1_2)	CACHED	-	1	6 GB	1	6s	94.8%	0.0%	4.5 MB
