---RUN_DATA---
Pipeline_version:   v1.1.0
Pipeline_runname:   sick_khorana
Pipeline_session:   1396fc68-e6ba-4fe1-95e1-935888cdfa1f
Pipeline_duration:  16166
Pipeline_datastrt:  2024-04-21T17:34:08.164587+01:00
Pipeline_datecomp:  2024-04-21T22:03:34.759904+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      ilPtePrim1_1
InputYamlFile:      /lustre/scratch125/tol/teams/meier/data/assemblies_Sanger/insects/Pteronymia_primula/assembly/draft/treeval/ilPtePrim1_1/ilPtePrim1_1.yaml
InputAssemblyData:  [[id:ilPtePrim1_1, sz:462066008, ln:insects, tk:null], /lustre/scratch125/tol/teams/meier/data/assemblies_Sanger/insects/Pteronymia_primula/assembly/draft/treeval/ilPtePrim1_1/data/ref.fa]
Input_PacBio_Files: [[id:read, sz:2920004476], /lustre/scratch125/tol/teams/meier/data/assemblies_Sanger/insects/Pteronymia_primula/assembly/draft/treeval/ilPtePrim1_1/working/work/e5/720e9d4b4e0bf7f1be32240e698c90/in/m84047_240409_110019_s3.ccs.bc2017.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:28850213746, cn:7], /lustre/scratch125/tol/teams/meier/data/assemblies_Sanger/insects/Pteronymia_primula/assembly/draft/treeval/ilPtePrim1_1/working/work/42/401f95829673bf2e36e60600924dfc/in/48358_5-6#4.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (ilPtePrim1_1)	CACHED	-	2	12 GB	1	1s	95.9%	0.0%	22.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (ilPtePrim1_1)	CACHED	-	6	1.5 GB	1	1m 51s	94.0%	0.3%	1.1 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (ilPtePrim1_1)	CACHED	-	1	100 MB	1	36ms	79.5%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (ilPtePrim1_1)	CACHED	-	1	100 MB	1	37ms	86.7%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_BWAMEM2:BWAMEM2_INDEX (ref.fa)	CACHED	-	1	13 GB	1	5m 9s	93.7%	2.7%	10.2 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:GrabFiles (ilPtePrim1_1)	CACHED	-	1	100 MB	1	44ms	84.7%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (ilPtePrim1_1)	CACHED	-	1	100 MB	1	54ms	69.4%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:CUSTOM_GETCHROMSIZES (ilPtePrim1_1)	CACHED	-	1	6 GB	1	4s	44.4%	0.0%	4.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (ilPtePrim1_1)	CACHED	-	2	12 GB	1	3.5s	79.2%	0.0%	48.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (ilPtePrim1_1)	CACHED	-	1	100 MB	1	4s	2.6%	0.0%	1.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_WINDOWS (ilPtePrim1_1)	CACHED	-	2	12 GB	1	2s	136.8%	0.1%	302.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (ilPtePrim1_1)	CACHED	-	1	1 GB	1	7s	0.4%	0.0%	5.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_USTAT (ilPtePrim1_1)	CACHED	-	1	1 GB	1	3m 13s	96.3%	0.0%	143.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:CAT_CAT (ilPtePrim1_1)	CACHED	-	2	12 GB	1	37s	20.6%	0.0%	3.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_BWAMEM2:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (ilPtePrim1_1)	CACHED	-	16	50 GB	1	1h 53m 47s	1370.2%	9.3%	35.4 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:EXTRACT_REPEAT (ilPtePrim1_1)	CACHED	-	2	12 GB	1	6s	99.5%	0.0%	6.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_BWAMEM2:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (ilPtePrim1_1)	CACHED	-	16	50 GB	1	1h 56m 11s	1290.1%	9.1%	35.7 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_BWAMEM2:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (ilPtePrim1_1)	CACHED	-	16	50 GB	1	2h 9m 38s	1132.0%	8.9%	34.5 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_BWAMEM2:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (ilPtePrim1_1)	CACHED	-	16	50 GB	1	2h 59m 31s	838.3%	9.8%	37.6 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:MINIMAP2_ALIGN (ilPtePrim1_1)	CACHED	-	20	50 GB	1	59m 12s	1525.1%	4.6%	17.4 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_BWAMEM2:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (ilPtePrim1_1)	CACHED	-	16	50 GB	1	2h 7m 48s	1183.8%	9.4%	36.5 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_BWAMEM2:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (ilPtePrim1_1)	CACHED	-	16	50 GB	1	1h 57m 9s	1369.4%	9.1%	35.1 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:CAT_CAT (ilPtePrim1_1)	CACHED	-	2	12 GB	1	31s	24.2%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_BWAMEM2:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (ilPtePrim1_1)	CACHED	-	16	50 GB	1	46m 24s	1314.2%	8.5%	34.2 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:FASTK_FASTK (ilPtePrim1_1)	CACHED	-	25	100 GB	1	3m 45s	631.7%	2.1%	16.2 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:EXTRACT_TELO (ilPtePrim1_1)	CACHED	-	2	12 GB	1	27ms	79.0%	0.0%	3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (ilPtePrim1_1)	CACHED	-	1	100 MB	1	30ms	45.7%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:TABIX_BGZIPTABIX (ilPtePrim1_1)	CACHED	-	1	1 GB	1	1s	9.5%	0.0%	3.1 MB
