---RUN_DATA---
Pipeline_version:   v1.1.1
Pipeline_runname:   elated_ritchie
Pipeline_session:   144d001b-3ba7-4c25-bde4-fc2192acbcfd
Pipeline_duration:  27232
Pipeline_datastrt:  2024-07-09T09:49:27.808103+01:00
Pipeline_datecomp:  2024-07-09T17:23:20.414647+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      ilSaiRosa1_1
InputYamlFile:      /lustre/scratch125/tol/teams/meier/data/assemblies_Sanger/insects/Sais_rosalia/assembly/draft/treeval/ilSaiRosa1_1/ilSaiRosa1_1.yaml
InputAssemblyData:  [[id:ilSaiRosa1_1, sz:500135706, ln:, tk:null], /lustre/scratch122/tol/data/1/8/7/3/d/0/Sais_rosalia/assembly/draft/treeval/ilSaiRosa1_1/raw/ref.fa]
Input_PacBio_Files: [[id:read, sz:3119861981], /lustre/scratch122/tol/data/1/8/7/3/d/0/Sais_rosalia/assembly/draft/treeval/ilSaiRosa1_1/working/work/5d/65e7d450c7669360eb9ddecb3d18bf/in/m84047_240628_121105_s3.ccs.bc2051.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:32657300054, cn:8], /lustre/scratch122/tol/data/1/8/7/3/d/0/Sais_rosalia/assembly/draft/treeval/ilSaiRosa1_1/working/work/6b/efa90ad36c388ea6b5c83937725a3e/in/48358_5-6#1.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (ilSaiRosa1_1)	COMPLETED	-	1	100 MB	1	10ms	118.4%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (ilSaiRosa1_1)	COMPLETED	-	1	100 MB	1	16ms	96.8%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (ilSaiRosa1_1)	COMPLETED	-	1	100 MB	1	9ms	73.2%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (ilSaiRosa1_1)	COMPLETED	-	2	12 GB	1	1s	99.7%	0.0%	3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_UNSORTED_GENOME:CUSTOM_GETCHROMSIZES (ilSaiRosa1_1)	COMPLETED	-	1	6 GB	1	2s	91.3%	0.0%	4.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (ilSaiRosa1_1)	COMPLETED	-	2	12 GB	1	4s	96.9%	0.0%	69.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (ilSaiRosa1_1)	COMPLETED	-	1	1 GB	1	0ms	11.1%	0.0%	3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (ilSaiRosa1_1)	COMPLETED	-	1	100 MB	1	26ms	68.1%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_B (ilSaiRosa1_1)	COMPLETED	-	2	12 GB	1	18ms	66.7%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (ilSaiRosa1_1)	COMPLETED	-	1	6 GB	1	0ms	71.0%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GET_LARGEST_SCAFF (ilSaiRosa1_1)	COMPLETED	-	2	12 GB	1	15ms	96.5%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:CAT_CAT (ilSaiRosa1_1)	COMPLETED	-	2	12 GB	1	11s	93.2%	0.0%	3.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_WINDOWS (ilSaiRosa1_1)	COMPLETED	-	2	12 GB	1	2s	132.1%	0.1%	304.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_C (ilSaiRosa1_1)	COMPLETED	-	2	12 GB	1	116ms	64.9%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:EXTRACT_TELO (ilSaiRosa1_1)	COMPLETED	-	2	12 GB	1	18ms	113.3%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:TABIX_BGZIPTABIX (ilSaiRosa1_1)	COMPLETED	-	1	1 GB	1	1s	29.7%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (ilSaiRosa1_1)	COMPLETED	-	6	1.5 GB	1	2m 12s	100.1%	0.6%	1.2 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_BWAMEM2:BWAMEM2_INDEX (ref.fa)	COMPLETED	-	1	15 GB	1	5m 50s	98.5%	1.5%	11 GB
