---RUN_DATA---
Pipeline_version:   v1.1.1
Pipeline_runname:   sad_leibniz
Pipeline_session:   c07389d8-f6ba-40b3-b71b-03f586d566d7
Pipeline_duration:  17486
Pipeline_datastrt:  2024-07-09T09:47:00.488899+01:00
Pipeline_datecomp:  2024-07-09T14:38:27.044853+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      ilScaZibi1_1
InputYamlFile:      /lustre/scratch125/tol/teams/meier/data/assemblies_Sanger/insects/Scada_zibia/assembly/draft/treeval/ilScaZibi1_1/ilScaZibi1_1.yaml
InputAssemblyData:  [[id:ilScaZibi1_1, sz:434517712, ln:, tk:null], /lustre/scratch122/tol/data/1/e/0/2/9/4/Scada_zibia/assembly/draft/treeval/ilScaZibi1_1/raw/ref.fa]
Input_PacBio_Files: [[id:read, sz:3477130496], /lustre/scratch122/tol/data/1/e/0/2/9/4/Scada_zibia/assembly/draft/treeval/ilScaZibi1_1/working/work/6c/af47d99fffd5421b0a7fb5075a71cc/in/m84047_240628_121105_s3.ccs.bc2049.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:36236798852, cn:8], /lustre/scratch122/tol/data/1/e/0/2/9/4/Scada_zibia/assembly/draft/treeval/ilScaZibi1_1/working/work/cb/9e126d3c1a459179d784039af1d853/in/48177_1#6.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (ilScaZibi1_1)	COMPLETED	-	1	100 MB	1	9ms	96.8%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (ilScaZibi1_1)	COMPLETED	-	1	100 MB	1	8ms	134.3%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (ilScaZibi1_1)	COMPLETED	-	1	100 MB	1	9ms	123.3%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (ilScaZibi1_1)	COMPLETED	-	1	100 MB	1	0ms	43.7%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_UNSORTED_GENOME:CUSTOM_GETCHROMSIZES (ilScaZibi1_1)	COMPLETED	-	1	6 GB	1	2s	86.4%	0.0%	4.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (ilScaZibi1_1)	COMPLETED	-	2	12 GB	1	4.6s	97.9%	0.0%	67.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (ilScaZibi1_1)	COMPLETED	-	2	12 GB	1	0ms	83.6%	0.0%	4.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_B (ilScaZibi1_1)	COMPLETED	-	2	12 GB	1	33ms	50.2%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (ilScaZibi1_1)	COMPLETED	-	1	6 GB	1	0ms	76.9%	0.0%	3.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GET_LARGEST_SCAFF (ilScaZibi1_1)	COMPLETED	-	2	12 GB	1	46ms	33.0%	0.0%	2.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (ilScaZibi1_1)	COMPLETED	-	1	1 GB	1	1s	11.5%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (ilScaZibi1_1)	COMPLETED	-	1	100 MB	1	28ms	45.2%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_C (ilScaZibi1_1)	COMPLETED	-	2	12 GB	1	134ms	35.2%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:CAT_CAT (ilScaZibi1_1)	COMPLETED	-	2	12 GB	1	12s	94.4%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_WINDOWS (ilScaZibi1_1)	COMPLETED	-	2	12 GB	1	3s	103.5%	0.1%	297.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:EXTRACT_TELO (ilScaZibi1_1)	COMPLETED	-	2	12 GB	1	44ms	61.7%	0.0%	3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:TABIX_BGZIPTABIX (ilScaZibi1_1)	COMPLETED	-	1	1 GB	1	1s	17.9%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (ilScaZibi1_1)	COMPLETED	-	6	1.5 GB	1	1m 46s	100.0%	0.6%	1.2 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_BWAMEM2:BWAMEM2_INDEX (ref.fa)	COMPLETED	-	1	13 GB	1	4m 30s	98.4%	2.5%	9.6 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_USTAT (ilScaZibi1_1)	COMPLETED	-	1	1 GB	1	3m 14s	99.1%	0.0%	189.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:EXTRACT_REPEAT (ilScaZibi1_1)	COMPLETED	-	2	12 GB	1	10s	98.4%	0.0%	6.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_INTERSECT (ilScaZibi1_1)	COMPLETED	-	1	6 GB	1	3s	87.3%	0.3%	1.1 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:RENAME_IDS (ilScaZibi1_1)	COMPLETED	-	2	12 GB	1	563ms	112.1%	0.0%	8.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_A (ilScaZibi1_1)	COMPLETED	-	2	12 GB	1	3.8s	174.5%	0.1%	259.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:REFORMAT_INTERSECT (ilScaZibi1_1)	COMPLETED	-	2	12 GB	1	2.9s	133.0%	0.0%	9.7 MB
