---RUN_DATA---
Pipeline_version:   v1.0.2
Pipeline_runname:   lonely_bhaskara
Pipeline_session:   0745e5be-962b-4db9-bdd8-3b99dc66524b
Pipeline_duration:  39036
Pipeline_datastrt:  2024-03-07T15:44:25.002306Z
Pipeline_datecomp:  2024-03-08T02:35:01.730235Z
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      ilSpiUrti1_1
InputYamlFile:      /lustre/scratch124/tol/projects/darwin/data/insects/Spilosoma_urticae/assembly/draft/treeval/ilSpiUrti1_1/ilSpiUrti1_1.yaml
InputAssemblyData:  [[id:ilSpiUrti1_1, sz:578780576, ln:insects, tk:null], /lustre/scratch124/tol/projects/darwin/data/insects/Spilosoma_urticae/assembly/draft/treeval/ilSpiUrti1_1/data/ref.fa]
Input_PacBio_Files: [[id:read, sz:8589487065], /lustre/scratch124/tol/projects/darwin/data/insects/Spilosoma_urticae/assembly/draft/treeval/ilSpiUrti1_1/working/work/85/e4045417c1b2481b8284b160409d8c/in/m64228e_230926_221352.ccs.bc2013--bc2013.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:28672459822, cn:7], /lustre/scratch124/tol/projects/darwin/data/insects/Spilosoma_urticae/assembly/draft/treeval/ilSpiUrti1_1/working/work/5a/a6b1739c150046c00164ba2359f8c7/in/48453_5-6#2.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (ilSpiUrti1_1)	COMPLETED	-	1	100 MB	1	109ms	12.2%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:GrabFiles (ilSpiUrti1_1)	COMPLETED	-	1	100 MB	1	136ms	16.4%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (ilSpiUrti1_1)	COMPLETED	-	1	100 MB	1	59ms	27.5%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (ilSpiUrti1_1)	COMPLETED	-	1	100 MB	1	68ms	23.7%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (ilSpiUrti1_1)	COMPLETED	-	2	12 GB	1	3.6s	97.8%	0.0%	76.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (ilSpiUrti1_1)	COMPLETED	-	1	100 MB	1	0ms	35.0%	0.0%	6.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (ilSpiUrti1_1)	COMPLETED	-	2	12 GB	1	1s	92.6%	0.0%	4.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:CUSTOM_GETCHROMSIZES (ilSpiUrti1_1)	COMPLETED	-	1	6 GB	1	3s	96.4%	0.0%	4.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (ilSpiUrti1_1)	COMPLETED	-	1	1 GB	1	0ms	52.7%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (ilSpiUrti1_1)	COMPLETED	-	1	100 MB	1	32ms	38.3%	0.0%	2.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_WINDOWS (ilSpiUrti1_1)	COMPLETED	-	2	12 GB	1	5s	112.7%	0.0%	301.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:GNU_SORT (ilSpiUrti1_1)	COMPLETED	-	2	12 GB	1	13ms	51.6%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_B (ilSpiUrti1_1)	COMPLETED	-	2	12 GB	1	14ms	49.2%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GET_LARGEST_SCAFF (ilSpiUrti1_1)	COMPLETED	-	2	12 GB	1	14ms	116.4%	0.0%	0
