---RUN_DATA---
Pipeline_version:   v1.0.2
Pipeline_runname:   nauseous_lorenz
Pipeline_session:   3c4319a0-f322-4173-b4df-ef341ee096af
Pipeline_duration:  35533
Pipeline_datastrt:  2024-04-03T11:41:25.822155+01:00
Pipeline_datecomp:  2024-04-03T21:33:39.768251+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      ilThyPsid1_1
InputYamlFile:      /lustre/scratch125/tol/teams/meier/data/assemblies_Sanger/insects/Thyridia_psidii/assembly/draft/treeval/ilThyPsid1_1/ilThyPsid1_1.yaml
InputAssemblyData:  [[id:ilThyPsid1_1, sz:320276193, ln:insects, tk:null], /lustre/scratch122/tol/projects/meier-tmp/insects/Thyridia_psidii/assembly/draft/treeval/ilThyPsid1_1/data/ref.fa]
Input_PacBio_Files: [[id:read, sz:3552139208], /lustre/scratch122/tol/projects/meier-tmp/insects/Thyridia_psidii/assembly/draft/treeval/ilThyPsid1_1/working/work/9b/0fa5bbe835896bdf6edf2db0543854/in/m84047_240325_111035_s3.ccs.bc2002.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:42050957297, cn:9], /lustre/scratch122/tol/projects/meier-tmp/insects/Thyridia_psidii/assembly/draft/treeval/ilThyPsid1_1/working/work/66/db746195d35df73de71f8fc5f820d1/in/48177_1#5.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:GrabFiles (ilThyPsid1_1)	COMPLETED	-	1	100 MB	1	46ms	75.4%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (ilThyPsid1_1)	COMPLETED	-	1	100 MB	1	47ms	75.8%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (ilThyPsid1_1)	COMPLETED	-	1	100 MB	1	43ms	71.8%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (ilThyPsid1_1)	COMPLETED	-	1	100 MB	1	52ms	73.2%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (ilThyPsid1_1)	COMPLETED	-	1	100 MB	1	0ms	26.7%	0.0%	6.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (ilThyPsid1_1)	COMPLETED	-	2	12 GB	1	0ms	84.0%	0.0%	4.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (ilThyPsid1_1)	COMPLETED	-	2	12 GB	1	2.3s	85.5%	0.0%	50.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:CUSTOM_GETCHROMSIZES (ilThyPsid1_1)	COMPLETED	-	1	6 GB	1	1s	90.1%	0.0%	4.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:GNU_SORT (ilThyPsid1_1)	COMPLETED	-	2	12 GB	1	15ms	85.9%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:CAT_CAT (ilThyPsid1_1)	COMPLETED	-	2	12 GB	1	9s	98.7%	0.0%	3.6 MB
