---RUN_DATA---
Pipeline_version:   v1.0.2
Pipeline_runname:   soggy_venter
Pipeline_session:   7d9c466f-a002-4db5-83fc-1b3f38086b82
Pipeline_duration:  32571
Pipeline_datastrt:  2024-04-03T11:41:21.438379+01:00
Pipeline_datecomp:  2024-04-03T20:44:13.236655+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      ilTitHarm1_2
InputYamlFile:      /lustre/scratch125/tol/teams/meier/data/assemblies_Sanger/insects/Tithorea_harmonia/assembly/draft/treeval/ilTitHarm1_2/ilTitHarm1_2.yaml
InputAssemblyData:  [[id:ilTitHarm1_2, sz:589959516, ln:insects, tk:null], /lustre/scratch122/tol/projects/meier-tmp/insects/Tithorea_harmonia/assembly/draft/treeval/ilTitHarm1_2/data/ref.fa]
Input_PacBio_Files: [[id:read, sz:3366816665], /lustre/scratch122/tol/projects/meier-tmp/insects/Tithorea_harmonia/assembly/draft/treeval/ilTitHarm1_2/working/work/02/cabdf20b04bd818a375fdfb583a124/in/m84047_240325_111035_s3.ccs.bc2004.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:32008925394, cn:7], /lustre/scratch122/tol/projects/meier-tmp/insects/Tithorea_harmonia/assembly/draft/treeval/ilTitHarm1_2/working/work/e9/5863babbb5799f66aa200d3566529e/in/48177_1#4.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:GrabFiles (ilTitHarm1_2)	COMPLETED	-	1	100 MB	1	38ms	92.3%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (ilTitHarm1_2)	COMPLETED	-	1	100 MB	1	41ms	88.5%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (ilTitHarm1_2)	COMPLETED	-	1	100 MB	1	38ms	89.8%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (ilTitHarm1_2)	COMPLETED	-	1	100 MB	1	38ms	92.0%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (ilTitHarm1_2)	COMPLETED	-	2	12 GB	1	1s	92.1%	0.0%	4.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (ilTitHarm1_2)	COMPLETED	-	1	100 MB	1	0ms	58.6%	0.0%	3.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (ilTitHarm1_2)	COMPLETED	-	1	1 GB	1	0ms	28.8%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (ilTitHarm1_2)	COMPLETED	-	1	100 MB	1	30ms	45.7%	0.0%	2.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (ilTitHarm1_2)	COMPLETED	-	2	12 GB	1	6.2s	95.7%	0.0%	73.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_UNSORTED_GENOME:CUSTOM_GETCHROMSIZES (ilTitHarm1_2)	COMPLETED	-	1	6 GB	1	4s	91.2%	0.0%	6.1 MB
